unique_paragraph_id,Llama-2 7B Mean,Llama-2 13B Mean,OPT 6.7B Mean,Pythia 2.8B Mean,Pythia 6.9B Mean,GPT-J 6B Mean,Mistral-v0.1 7B Mean,Mistral-v0.3 7B Mean,Mistral-Instruct-v0.3 7B,GPT-2 117M Mean,GPT-2 345M Mean,GPT-2 774M Mean,GPT-2 1558M Mean,GPT-Neo 125M Mean,GPT-Neo 1.3B Mean,GPT-Neo 2.7B Mean,OPT 350M Mean,OPT 1.3B Mean,OPT 2.7B Mean,Pythia 70M Mean,Pythia 160M Mean,Pythia 410M Mean,Pythia 1B Mean,Pythia 1.4B Mean,Gemma 7B Mean,Recurrent-Gemma 9B Mean,Gemma-2 9B Mean,GEMMA-2 27B,RWKV-4 169M Mean,RWKV-4 430M Mean,RWKV-4 3B Mean,RWKV-4 7B Mean,Mamba 370M Mean,Mamba 790M Mean,Mamba 1.4B Mean,Mamba 2.8B Mean
1_10_Ele_4,3.4053383,3.4652178,3.543037,3.7493243,3.6586556,3.667126,3.4011128,3.4136398,3.47725,4.349349,4.0891356,3.882063,3.8020833,4.5066366,3.9364865,3.7178366,4.073578,3.8004746,3.6477642,5.0334444,4.570592,4.054225,3.8628101,3.9101503,3.492284,3.390855,3.5207665,3.3608727,4.335296,4.0709662,3.7852738,3.5888305,3.8775458,3.8228762,3.7215548,3.701905
1_10_Ele_5,4.0075603,3.830208,4.040187,4.272648,4.1784835,4.1596403,3.8061438,3.8196566,3.8601286,4.9808426,4.5669565,4.312839,4.208441,5.1721644,4.2578397,4.24603,4.633444,4.150414,4.2382784,5.889784,5.115555,4.547135,4.3232126,4.3247004,3.9050965,3.8062873,3.7491338,3.6714637,4.949015,4.5125723,4.139106,4.006826,4.352338,4.3680634,4.2154655,4.2655215
1_10_Ele_6,3.6702206,3.4990256,3.828848,3.8180504,3.7074401,3.6792798,3.5178936,3.5277028,3.5681386,4.534179,4.2077303,3.9831727,3.9369106,4.570402,3.9932683,3.920374,4.271399,4.0104117,3.8077664,5.21206,4.678124,4.0350266,3.792715,3.849636,3.585446,3.5545566,3.6056938,3.3293436,4.277119,4.0139623,3.8317335,3.8322728,3.9501505,3.984652,3.6944711,3.782405
1_10_Ele_7,3.537122,3.3395581,3.7235794,3.845946,3.6003103,3.6491644,3.4380786,3.4997454,3.5655382,4.516218,4.0801573,3.9876235,3.923677,4.500682,3.9411888,3.9268517,4.291186,4.0177584,3.7919283,5.2294903,4.7124743,4.181193,3.9087777,3.985205,3.595901,3.4320154,3.3288765,3.2741892,4.4613867,4.1044803,3.8053615,3.6795392,4.044481,3.9175954,3.8997602,3.6649387
1_1_Adv_1,2.9719245,2.8035884,3.0113556,3.2507231,3.1976712,3.1602912,2.6911159,2.7305849,2.7848694,3.9038563,3.5819492,3.4352982,3.2869325,4.2605243,3.5623715,3.2762027,3.801741,3.3121865,3.1585777,4.975776,4.2869306,3.7134323,3.6475394,3.4215596,2.7780836,2.843466,2.7894063,2.676849,4.200931,3.7211607,3.2949624,3.0836065,3.577826,3.3872244,3.2577481,3.151029
1_1_Adv_2,3.2080867,2.9878,3.3209145,3.4740436,3.348071,3.3899064,3.130017,3.137313,3.2078674,3.953054,3.6848466,3.5229037,3.4317787,4.0239086,3.7600586,3.658365,3.7746222,3.564468,3.3040519,4.677556,4.2098184,3.9584827,3.7990217,3.6412225,3.221649,3.1743028,3.1284142,3.1157439,4.060875,3.7378669,3.426306,3.3653321,3.648072,3.6317947,3.4524145,3.3910773
1_1_Adv_3,3.2704904,3.1920617,3.3752935,3.4537048,3.41102,3.2983382,3.2301185,3.2250328,3.3278117,4.049834,3.6173391,3.5703468,3.405155,4.123112,3.5575988,3.439324,3.8591437,3.4656217,3.4878314,4.446352,4.0722766,3.7153254,3.7311575,3.5686426,3.2715003,3.3745525,3.3181167,3.2518034,3.7811432,3.6745613,3.3468738,3.33173,3.6585085,3.5155234,3.37265,3.3115106
1_1_Adv_4,3.0876055,3.1054454,3.2150202,3.3704853,3.3209252,3.3422399,2.9586344,3.0111835,3.0448475,3.7638476,3.5735402,3.4654267,3.3439841,4.232928,3.5967548,3.5539138,3.8410754,3.4352193,3.3030074,4.543862,4.0858502,3.7514307,3.5731654,3.535948,3.0370984,3.1697123,3.1047723,2.970379,4.015659,3.7436507,3.4601843,3.2178347,3.7834516,3.5469189,3.400436,3.2170165
1_1_Adv_5,3.3494282,3.2369912,3.429701,3.4284987,3.4244637,3.2353451,3.3296351,3.3153157,3.3715782,3.9273033,3.6873,3.5502212,3.4517107,4.0491776,3.5449421,3.546068,3.8805735,3.4760017,3.4959576,4.994077,4.210174,3.8369746,3.7043424,3.62629,3.375843,3.2958248,3.4849527,3.2372205,4.1541057,3.7619426,3.5031228,3.3539517,3.7522392,3.486517,3.5211108,3.5433254
1_1_Adv_6,2.9711106,2.841319,3.014495,3.2858438,3.1258886,3.2040668,2.778838,2.8041313,2.9260056,3.8893251,3.5238605,3.2927458,3.2362547,4.252102,3.4979522,3.3143528,3.7176585,3.2325628,3.1305017,4.919563,4.4432597,3.7538369,3.486213,3.3819473,2.9202788,2.941024,2.9109762,2.8083577,4.149469,3.739178,3.0946538,3.096195,3.5600264,3.3182461,3.2999766,3.1027825
1_1_Adv_7,2.7253704,2.5675387,3.0384057,3.1934042,3.0459657,3.045763,2.6647804,2.6948445,2.741061,3.7992504,3.5337598,3.3238463,3.1457965,3.8446596,3.5167422,3.3377004,3.6668742,3.2821324,3.2239149,4.35035,4.054096,3.6738884,3.4668121,3.4138942,2.7555997,2.7984,2.788831,2.5230267,3.8808894,3.5537832,3.1164503,2.951886,3.6311436,3.4466834,3.3505852,3.0626035
1_1_Ele_1,2.8246665,2.6658347,2.8964517,2.9652328,2.9724755,2.89439,2.569307,2.5744667,2.8081384,3.4051948,3.1617804,3.0613463,3.0178628,3.738538,3.097482,2.9871278,3.299641,2.9686422,2.8737755,4.3828077,3.73105,3.2608397,3.1683683,2.9667752,2.664935,2.7500417,2.6635401,2.638973,3.5337446,3.1444879,3.0907657,2.8678663,3.191771,3.0993717,3.0367267,2.907275
1_1_Ele_2,3.2245755,3.1619596,3.206935,3.323367,3.2972038,3.2341945,3.1355207,3.1155417,3.1972399,3.6267095,3.3594468,3.367233,3.2890384,3.831515,3.478707,3.4467049,3.566397,3.3927846,3.2676868,4.2877846,3.94246,3.6487079,3.537705,3.4254925,3.2013733,3.1899934,3.1152804,3.1605282,3.8429189,3.4956155,3.3002043,3.2521136,3.4525182,3.4393575,3.289242,3.273498
1_1_Ele_3,3.1783657,3.01063,3.2915838,3.3409142,3.315975,3.232525,3.118276,3.175867,3.2234478,3.657889,3.3626401,3.316321,3.2737393,3.7382905,3.3585818,3.2234645,3.4721382,3.3384614,3.323951,4.0758257,3.7516048,3.3551571,3.5376823,3.3210018,3.151583,3.2342331,3.1402607,2.9970586,3.566655,3.447854,3.2164114,3.2341347,3.2298315,3.3240697,3.3060114,3.1543477
1_1_Ele_4,3.1914403,3.0848942,3.1070974,3.3616872,3.2872634,3.2320735,2.9372954,2.9745607,3.0372586,3.7618842,3.5521312,3.471871,3.3651085,4.1547728,3.623282,3.3941672,3.7928011,3.3699093,3.3634145,4.4458632,4.166476,3.6683884,3.5826514,3.3718874,3.030667,3.125763,3.1005836,2.9888492,3.970323,3.7170246,3.4323082,3.2428393,3.5207794,3.4200227,3.3702672,3.1289618
1_1_Ele_5,3.2972045,3.2861247,3.49843,3.42469,3.3775039,3.195454,3.258226,3.2628446,3.2635946,3.920935,3.7419481,3.6447103,3.4657614,4.1354504,3.5662143,3.435645,3.830963,3.4753938,3.4669507,4.8695517,4.290074,3.7434077,3.5675528,3.5160842,3.336065,3.2281601,3.340382,3.21464,3.9888506,3.8996942,3.4923108,3.297328,3.657941,3.589538,3.5609164,3.5387056
1_1_Ele_6,2.6658707,2.574337,2.7657516,2.9270732,2.8681672,2.720609,2.643566,2.6264644,2.7110791,3.4858925,3.1798236,2.94596,2.7158248,3.7039926,3.1047726,2.9655886,3.4024765,2.9671695,2.8940237,4.264104,3.7582068,3.2359512,3.1602836,3.0740676,2.598801,2.6780853,2.7340999,2.489507,3.6253717,3.3055706,2.8682902,2.749319,3.2316597,3.1077406,2.9940689,2.7673998
1_1_Ele_7,2.7416751,2.6386428,2.9249928,3.133591,3.0690002,2.959823,2.6827724,2.6809936,2.754965,3.5300913,3.2734623,3.195145,3.0088813,3.7085333,3.4305058,3.2353692,3.4490044,3.2232115,3.1325116,4.2332315,3.9134479,3.5280724,3.2570903,3.1999938,2.772556,2.7833154,2.8853958,2.5995617,3.5461874,3.3400772,2.9752572,2.8742998,3.284641,3.3070185,3.1730063,2.9807675
1_2_Adv_1,2.5724986,2.426386,2.7360468,2.82519,2.7441866,2.7372115,2.4501426,2.461161,2.5471337,3.4852278,3.128101,2.9734116,2.9411047,3.6717534,3.1987214,2.9232516,3.415685,3.0640934,2.9653516,4.326792,3.7972672,3.376323,3.1349516,3.1355295,2.6106844,2.5890465,2.6474383,2.34779,3.665509,3.211443,2.9663227,2.6721766,3.1910462,3.138909,2.961268,2.9014573
1_2_Adv_2,2.695103,2.555892,2.8036504,2.8537204,2.8303604,2.7181976,2.5494092,2.5453,2.626368,3.244355,2.936916,2.90726,2.9371626,3.5940974,2.9659138,2.896069,3.2394693,3.0717812,2.932155,4.0014024,3.436027,3.156008,2.9368904,2.8965182,2.587875,2.630663,2.6756055,2.4822104,3.3370461,3.1053996,2.760218,2.803806,3.070911,2.9716609,2.819599,2.7993505
1_2_Adv_3,2.5870042,2.402569,2.6690044,2.7457457,2.6552052,2.6466548,2.4747574,2.45337,2.4543936,3.2645001,2.986893,2.8259265,2.6863632,3.5652258,2.963307,2.7711358,3.381913,2.8527634,2.8128233,4.0442286,3.6361077,3.0976534,2.9639785,2.897762,2.5440712,2.5365825,2.4115255,2.3654838,3.368486,3.1519253,2.7227435,2.621852,2.8667526,2.812755,2.753097,2.634419
1_2_Adv_4,2.8325827,2.7424238,2.9553978,3.1123664,2.995712,2.9641845,2.6718156,2.7136867,2.7298512,3.7038178,3.491803,3.2396863,3.2033167,3.9998076,3.2741187,3.152718,3.7970397,3.3826637,3.1359787,4.401268,4.080226,3.7535033,3.4870782,3.2946177,2.7879014,2.8043365,2.7593539,2.5988967,3.7170994,3.4825954,3.0298798,2.87092,3.4210117,3.1614008,3.1432502,2.9729807
1_2_Adv_5,3.07459,3.0189154,3.2027378,3.1377525,3.142222,3.111354,2.9913762,2.9872866,3.0423129,3.6988716,3.4715023,3.3571784,3.2584493,3.7779624,3.3025308,3.1927054,3.77942,3.4411871,3.3428853,4.195927,3.986595,3.5838013,3.381882,3.2819803,3.0348191,3.0224679,3.057591,2.8966131,3.7963405,3.4685342,3.1994553,3.0710866,3.360728,3.2777824,3.2015097,3.1778843
1_2_Adv_6,3.301212,3.292954,3.730818,3.5799978,3.487323,3.4680812,3.2170024,3.2481601,3.3732562,4.3508434,4.096646,4.0124626,3.8615718,4.5762258,4.0161195,3.5845768,4.42415,4.0290656,3.970371,5.1003194,4.673751,4.1769004,3.9830062,3.816629,3.4275684,3.5509272,3.5415447,3.1097412,4.3687778,4.140394,3.4990175,3.3219104,3.8721824,3.6849494,3.5349972,3.582398
1_2_Ele_1,2.7834735,2.647483,3.011797,3.0051954,2.902544,2.9090207,2.6188083,2.6292167,2.7280989,3.6316695,3.452183,3.3019686,3.188107,3.863677,3.3493586,3.12122,3.6656976,3.267635,3.2121775,4.463288,3.8636026,3.5109417,3.3121195,3.141066,2.7372901,2.7811813,2.7737975,2.6402133,3.8417747,3.4202173,3.02919,2.9715562,3.268087,3.368299,3.2675452,3.0282845
1_2_Ele_2,2.6951466,2.5557384,2.8674045,2.878496,2.792949,2.701658,2.495801,2.509896,2.582183,3.2592945,2.9586678,2.8684778,2.8577611,3.4864783,2.8717299,2.799015,3.2576888,3.007169,2.8765783,3.975665,3.437651,3.113546,3.0108294,2.865831,2.5783322,2.6024675,2.6647918,2.5029771,3.2771099,3.0367868,2.6948256,2.756565,3.0639007,2.8903685,2.8421843,2.7766078
1_2_Ele_3,2.4110844,2.2590797,2.6163957,2.5502815,2.573581,2.5112174,2.2467232,2.2285597,2.3156257,3.2617292,2.9256427,2.8008194,2.7068903,3.5536978,2.912677,2.897624,3.391062,2.808529,2.719018,4.200783,3.6327717,3.1642313,2.960169,2.869369,2.3883955,2.3671834,2.3166635,2.2714446,3.3644853,3.0628989,2.6207898,2.5089893,3.0264108,2.7827055,2.5946493,2.6056368
1_2_Ele_4,2.7654257,2.7714133,2.912921,3.078503,2.9408875,3.0230122,2.7640555,2.7435644,2.8042722,3.545678,3.3705611,3.2237592,3.0644183,3.7821145,3.209049,3.137359,3.6553485,3.312247,3.0383222,4.155661,3.7703927,3.5641227,3.3314729,3.248682,2.783503,2.8161476,2.81822,2.6051095,3.609384,3.3704412,3.0387695,2.8240278,3.3902693,3.2300372,3.0488007,2.9083264
1_2_Ele_5,2.9592147,2.966254,3.0875216,3.060005,3.0207627,3.011427,2.9363818,2.934251,2.9812262,3.542566,3.2916036,3.243398,3.1721835,3.6594543,3.174414,3.1340744,3.5746012,3.3260167,3.1757703,4.1516104,3.7654798,3.4601896,3.2719727,3.134449,2.9311712,2.9984167,3.0541177,2.8511653,3.6353035,3.335275,3.109466,3.0451386,3.239525,3.2091975,3.1660216,3.1206856
1_2_Ele_6,3.1229978,3.0177758,3.4350328,3.294242,3.1853678,3.157458,2.904052,2.9754128,3.139023,4.024466,3.6721249,3.5203528,3.4584904,4.192046,3.656131,3.3462453,4.052046,3.5578418,3.6179657,4.841244,4.3301897,3.7651045,3.5425742,3.474866,3.1109827,3.14337,3.1226444,2.9267068,4.052497,3.6898148,3.2305238,3.0420177,3.5544007,3.3949227,3.274855,3.2343986
1_3_Adv_1,2.7605972,2.611869,3.100639,3.1337254,2.9574957,2.9815927,2.7495894,2.7727413,2.8249874,3.8004773,3.3767192,3.2010121,2.9761767,4.1066155,3.4053788,3.192295,3.7244017,3.284949,3.2643032,4.6362343,4.1283574,3.588058,3.448281,3.310201,3.005773,2.8955894,2.880258,2.7257566,3.9213796,3.4654813,3.0212343,2.7858503,3.3647058,3.2691903,3.07943,2.9592094
1_3_Adv_2,4.2222595,4.006507,4.344419,4.3988276,4.336787,4.3373485,4.2780166,4.3098707,4.409019,4.7720976,4.551326,4.382766,4.3724604,4.9690394,4.601869,4.543589,4.7096376,4.498714,4.5357146,5.479883,5.161056,4.680745,4.536835,4.38377,4.252633,4.4060707,4.435108,4.153632,5.1012774,4.8039255,4.4354753,4.4399433,4.565619,4.536291,4.4183183,4.367192
1_3_Adv_3,3.8906193,3.711114,3.892344,4.0843024,4.0486774,3.9765594,3.7733798,3.8453467,3.883105,4.712977,4.29019,4.1636195,4.1013746,4.8122425,4.3231387,4.144044,4.5636716,4.175643,4.1302466,5.1620545,4.833877,4.427053,4.3010674,4.258503,3.8861995,3.9195487,4.191823,3.7507098,4.6119986,4.4162145,4.0767927,4.000414,4.379742,4.2786,4.094686,4.0915465
1_3_Adv_4,3.1732407,3.1179273,3.2285497,3.2470362,3.2026923,3.134857,3.1993983,3.208582,3.2575235,3.7382054,3.3916283,3.278213,3.205648,3.7849402,3.384987,3.3301897,3.656484,3.3862455,3.338776,4.2537637,3.8984554,3.5517895,3.4539955,3.385825,3.2483828,3.1696205,3.242088,3.151499,3.7397604,3.572503,3.3079095,3.1676617,3.498222,3.3057244,3.3109317,3.1842985
1_3_Adv_5,3.7519956,3.692697,3.8227944,3.8702877,3.8850904,3.8034244,3.6746414,3.6822288,3.754126,4.1044507,4.006171,3.8495674,3.8927445,4.2873487,4.0174417,3.9210007,4.174011,3.9029274,3.936329,4.801421,4.3688393,4.118968,4.0853777,3.9854743,3.705686,3.7639031,3.968429,3.6808028,4.2331395,4.040654,3.8496003,3.9165928,4.0731716,3.9937434,3.912717,3.8634725
1_3_Ele_1,2.7784657,2.5897145,3.005339,3.122863,2.9172537,2.955387,2.6515887,2.6526048,2.6810014,3.5916755,3.2872686,3.161496,3.0385246,3.8735855,3.2775755,3.059835,3.648635,3.27548,3.131112,4.1683745,3.7485933,3.41606,3.3137903,3.209778,2.8302367,2.7854242,2.7059908,2.6371977,3.7142656,3.383189,3.0012171,2.7457492,3.3269348,3.0842888,3.0556104,2.8821585
1_3_Ele_2,3.8276832,3.7762265,3.9799678,4.057402,3.9142692,3.9598055,3.7931294,3.806052,3.9410899,4.071037,3.9738235,3.996744,3.9851427,4.104709,4.053093,3.969884,4.0715365,3.9687274,4.1237946,4.621235,4.3839827,4.1415544,3.9840345,3.8853607,3.9227433,3.9517188,3.9186466,3.7870548,4.3586187,4.128908,3.888435,3.9453983,4.059367,4.0800767,3.938653,3.9923823
1_3_Ele_3,3.5741136,3.4392235,3.7189016,3.6609845,3.5965014,3.6168737,3.5127838,3.555348,3.6564813,4.116393,3.8354125,3.7219806,3.725905,4.215803,3.8451402,3.739217,3.9618468,3.7975762,3.7791948,4.528644,4.3212066,3.9862418,3.8262522,3.785009,3.5797102,3.51999,3.6644971,3.425465,4.285974,3.9104815,3.6531134,3.7218885,3.819534,3.755286,3.713305,3.6752942
1_3_Ele_4,3.1891017,3.1772573,3.3451083,3.3548417,3.3429465,3.3594403,3.1494396,3.1799533,3.2542932,3.5895877,3.3817875,3.3834703,3.3277388,3.6364124,3.4423678,3.4021711,3.4869404,3.39598,3.315711,4.1416063,3.722496,3.4971924,3.3488634,3.3699043,3.218735,3.1934435,3.1844501,3.1854413,3.6240191,3.423754,3.3316097,3.2391877,3.413015,3.242236,3.4304323,3.292709
1_3_Ele_5,3.6003706,3.5706239,3.6512651,3.6171622,3.6294212,3.6717849,3.5987463,3.5994682,3.6710045,3.9694457,3.8591392,3.8198893,3.6749313,4.122192,3.8238366,3.8296561,4.0257235,3.7759798,3.7288663,4.4779835,4.249925,3.9212723,3.8863149,3.7068517,3.603972,3.54507,3.8196208,3.6276307,4.0726767,3.8156898,3.630148,3.757141,3.8051643,3.781614,3.7738988,3.663055
1_4_Adv_1,3.085677,3.0272498,3.1266677,3.3858068,3.2607985,3.2081425,2.9633658,3.0008166,3.1066716,3.9979775,3.6648161,3.4693756,3.245537,4.2976136,3.464452,3.340234,3.8686945,3.4452486,3.218902,4.864094,4.399119,3.8710425,3.6487026,3.5369322,3.0292776,3.0435042,3.1207647,2.8760111,4.186061,3.770654,3.3073828,3.2312455,3.6421356,3.4286609,3.275166,3.16374
1_4_Adv_2,3.4988956,3.4614718,3.5689132,3.6324768,3.6736987,3.6244102,3.480174,3.4460762,3.5464995,4.2615395,4.0019636,3.9420702,3.8460038,4.4322014,3.9237115,3.7981691,4.065663,3.7558885,3.724147,4.7892213,4.509488,4.0558443,3.9173384,3.8180313,3.5715594,3.45346,3.6473138,3.2972376,4.2937326,4.0695753,3.6291592,3.6255202,3.8791804,3.6577373,3.6742299,3.5610619
1_4_Adv_3,3.2622697,3.2666025,3.4569242,3.598527,3.5021458,3.4309137,3.2165782,3.2174082,3.2508366,4.061737,3.7575197,3.6605034,3.562277,4.2232804,3.7611995,3.6898499,4.0331554,3.551366,3.552164,4.9241447,4.2493267,3.8378785,3.7270231,3.6227791,3.2821484,3.3275192,3.2915192,3.1903868,4.097588,3.8373024,3.4887066,3.3760233,3.8090386,3.57452,3.5275052,3.427969
1_4_Adv_4,3.5720284,3.5265276,3.667386,3.8064878,3.751139,3.759774,3.4871764,3.5626805,3.658337,4.225094,4.002875,3.9244626,3.9026432,4.3387775,3.9499235,3.8477392,4.1572156,3.7924955,3.8699787,4.9147987,4.388037,4.092175,4.008207,3.8679411,3.526816,3.574369,3.6841507,3.4870214,4.2033353,4.05317,3.747807,3.6859019,4.0572734,3.8696005,3.8375614,3.7675884
1_4_Adv_5,3.739129,3.799729,3.9790542,4.144912,4.1017323,4.0283933,3.8393958,3.8663366,3.918878,4.4766564,4.4206805,4.4079432,4.298227,4.616075,4.288092,4.2650113,4.4711895,4.269097,4.1849995,5.1150084,4.7287154,4.4875813,4.212353,4.1188655,3.8490822,3.780718,3.903595,3.7070556,4.3575644,4.354899,3.8985605,4.05929,4.4506116,4.1989217,4.207957,4.0477376
1_4_Ele_1,3.0809224,2.9783883,3.1510904,3.2827313,3.237798,3.1921875,3.010158,3.0454757,3.1991148,3.7308784,3.4632204,3.4194348,3.2311974,3.906464,3.375367,3.3342478,3.531522,3.3766527,3.2709088,4.3244767,4.094012,3.5719848,3.4024422,3.4143422,2.9928236,3.138089,3.1360931,2.9756584,3.8755953,3.5665252,3.2406394,3.296053,3.410599,3.3007054,3.225882,3.2382257
1_4_Ele_2,3.4478476,3.3818793,3.513769,3.652129,3.6375322,3.6314044,3.4488325,3.4112349,3.51432,4.1176405,3.9122846,3.7536457,3.768785,4.3301435,3.8453019,3.7096264,3.9844089,3.7895231,3.615666,4.708216,4.3160377,3.9980676,3.8269181,3.8100326,3.50404,3.368664,3.4433222,3.3759894,4.2167807,3.9820907,3.6094646,3.5340917,3.862482,3.7527778,3.6578612,3.6157095
1_4_Ele_3,3.3789494,3.2596118,3.4169164,3.4975355,3.5058393,3.3762414,3.3404562,3.2919884,3.3998427,3.8661368,3.5651584,3.6067438,3.4707582,3.9715343,3.5499365,3.570229,3.7833855,3.5961363,3.5885162,4.267984,3.8926942,3.640178,3.5138476,3.5703702,3.3114178,3.355293,3.362391,3.2902832,3.70939,3.6306877,3.4458008,3.3545434,3.5642831,3.5641613,3.4676201,3.418331
1_4_Ele_4,3.5808766,3.5029972,3.5736876,3.7285619,3.7479856,3.71417,3.4747322,3.5333447,3.6082778,3.9897025,3.9385664,3.8656735,3.7646856,4.242061,3.909766,3.7662354,3.9744606,3.702692,3.7213812,4.7125254,4.2508936,3.9533675,3.8672404,3.7991605,3.5643928,3.5411272,3.643886,3.4271836,4.077576,3.9397964,3.7736168,3.7337463,3.8507166,3.7479818,3.821002,3.699119
1_4_Ele_5,3.570396,3.4846387,3.7405338,3.821614,3.7795935,3.753034,3.6359057,3.6348696,3.6906908,4.0646954,3.9912543,3.9526024,3.8004148,4.2789354,3.8964407,3.9066305,4.117851,3.9295006,3.791822,4.7979565,4.343189,3.9908602,3.9988286,3.8760948,3.6091728,3.5812376,3.5893164,3.6545634,4.173324,4.080458,3.6955712,3.7413132,4.0338793,4.0233397,3.8934028,3.8432572
