unique_paragraph_id,align_idx,Llama-2 7B Mean,Llama-2 13B Mean,OPT 6.7B Mean,Pythia 2.8B Mean,Pythia 6.9B Mean,GPT-J 6B Mean,Mistral-v0.1 7B Mean,Mistral-v0.3 7B Mean,Mistral-Instruct-v0.3 7B,GPT-2 117M Mean,GPT-2 345M Mean,GPT-2 774M Mean,GPT-2 1558M Mean,GPT-Neo 125M Mean,GPT-Neo 1.3B Mean,GPT-Neo 2.7B Mean,OPT 350M Mean,OPT 1.3B Mean,OPT 2.7B Mean,Pythia 70M Mean,Pythia 160M Mean,Pythia 410M Mean,Pythia 1B Mean,Pythia 1.4B Mean,Gemma 7B Mean,Recurrent-Gemma 9B Mean,Gemma-2 9B Mean,GEMMA-2 27B,RWKV-4 169M Mean,RWKV-4 430M Mean,RWKV-4 3B Mean,RWKV-4 7B Mean,Mamba 370M Mean,Mamba 790M Mean,Mamba 1.4B Mean,Mamba 2.8B Mean
1_10_Adv_4,10,4.276736,4.0953913,4.3163533,4.007104,4.1881337,4.3604546,4.138818,4.171368,4.2829385,5.400656,4.878861,4.4555697,4.314957,5.5075364,4.626543,4.181783,4.913208,4.2523723,4.2072124,6.8954144,5.564153,4.881229,4.6381125,4.4214916,4.287208,4.199121,4.558706,4.1705723,5.167201,4.683137,4.311215,4.1340938,4.4321227,4.4457083,4.260749,4.3485312
1_10_Adv_4,11,4.439279,4.404349,4.4249616,4.4506373,4.403519,4.439545,4.1817894,4.2770476,4.513017,4.532397,4.6013007,4.460282,4.230185,4.612393,4.566174,4.3226514,4.3875604,4.469695,4.268242,5.181222,4.96899,4.883672,4.4253087,4.5482783,4.3486733,4.388926,4.126058,4.422689,4.635026,4.344528,4.33534,4.3891616,4.6885533,4.4022164,4.4142365,4.2991767
1_10_Adv_4,12,3.8152165,3.7660184,4.01871,4.140921,4.059596,3.9423962,3.8680406,3.891512,4.0313807,4.244006,4.1419115,4.1736784,4.0192327,4.477374,4.2414665,3.9931195,4.129228,3.979695,4.1230435,4.750406,4.384417,4.061175,4.0445914,4.1730337,3.7120202,3.7101712,3.641339,3.6148772,4.38643,4.0376425,4.1202507,3.991798,3.9293778,4.0963984,4.005664,4.001839
1_10_Adv_4,13,4.1242285,4.1727247,4.443747,4.5912695,4.3888183,4.4623127,4.0706277,4.0407324,4.135949,5.317982,5.2237234,4.9364614,4.7276783,5.814714,4.971537,4.786271,5.4790616,5.137526,4.7600765,6.301714,5.793161,5.1036906,4.9425387,4.684224,4.0736084,4.0055804,3.986314,3.7403238,5.3342113,5.1882954,4.4887514,4.342062,4.824129,4.859049,4.684227,4.4871216
1_10_Adv_5,14,4.571584,4.5721855,5.1372275,5.1473126,5.164274,5.362391,4.5235004,4.4943013,4.670159,7.276522,6.1283345,5.6481524,5.5472445,7.355202,5.8336315,5.4341164,6.6119614,5.8798304,5.3371315,8.290481,7.6618094,5.9053855,6.129209,5.475785,4.8265023,4.6523814,5.2863517,4.596841,6.3840475,5.723545,4.9596257,5.211214,5.277852,5.541724,5.097358,4.9686394
1_10_Adv_5,15,3.9630256,4.29618,4.625514,4.518016,4.2637725,4.3631706,4.2319455,4.2334275,4.5442095,4.9198866,4.5708013,4.533708,4.315493,5.336428,4.275196,4.3557367,4.68992,4.556227,4.457011,5.91384,5.1844387,4.8410296,4.416426,4.4597273,4.110951,4.1020913,4.645662,4.177169,4.892039,4.6896577,4.285946,4.1352677,4.594379,4.7316523,4.444392,4.488527
1_10_Adv_5,16,5.435558,5.272275,5.5740767,5.448141,5.5391655,5.6840463,5.6990867,5.6831985,5.841822,5.6429114,5.6716547,5.5418963,5.7395186,5.7891183,5.7155004,5.774108,5.5496454,5.40839,5.491649,6.277906,6.1222034,5.7278085,5.711189,5.566772,5.3958707,5.4192376,5.751404,5.2456684,5.9429283,5.887975,5.8359666,5.590978,5.87336,5.7412453,5.554936,5.743497
1_10_Adv_5,17,4.205126,4.3156037,4.3990917,4.475387,4.391141,4.3508835,3.9906592,3.9657705,4.061173,5.037054,4.636529,4.6381016,4.5036454,5.2767735,4.6625366,4.3075857,4.7879486,4.450226,4.3530216,5.507207,5.0010533,4.7466784,4.578156,4.3348703,3.9888322,4.1263685,4.312198,3.8971765,4.938598,4.5967145,4.2770634,4.2650905,4.5784297,4.470237,4.2838635,4.429627
1_10_Adv_6,18,4.043574,3.7944427,4.275805,4.2367926,4.2173758,4.2307878,3.891476,3.7943206,3.932675,5.823281,5.207435,4.8171587,4.793264,5.5831747,4.690618,4.625692,5.311363,4.7290187,4.472997,6.221188,5.538021,4.800074,4.4610853,4.320295,3.9177196,4.0269895,4.362846,4.0170226,5.065518,4.632464,4.4707355,4.0737286,4.6500726,4.540903,4.3663807,4.1243625
1_10_Adv_6,19,4.305907,4.0649776,4.285643,4.1101823,4.218929,4.280541,4.1793737,4.1408935,4.3115873,4.624724,4.352553,4.1241274,4.2098794,4.9968557,4.2528653,4.135484,4.4154263,4.428819,4.244646,5.1130033,4.6704607,4.181409,4.03406,4.313217,4.1054974,4.1833763,4.392636,3.7820263,4.292818,4.2148504,4.1765494,4.4014955,4.177228,4.2843385,4.0985146,4.1532583
1_10_Adv_6,20,4.295609,4.24534,4.438774,4.5137763,4.216691,4.115673,4.1499033,4.1242156,4.4119153,4.7386265,4.3298564,4.3205066,4.2597036,4.9487257,4.3460526,4.247467,4.477568,4.2044334,4.333559,5.1796875,4.997145,4.503605,4.5155272,4.458349,3.9826267,4.037357,3.7394972,3.825176,4.7249193,4.6730666,4.3267136,4.3255086,4.5540543,4.7963467,4.1560783,4.0747104
1_10_Adv_6,21,5.04371,5.0006666,5.1848598,5.026452,5.096317,5.0533314,5.0176024,5.0481415,5.231738,5.3558874,4.926781,5.1523604,5.1271906,5.384211,5.063267,5.1181235,5.4113293,5.178422,5.3252597,6.0306706,5.8081365,4.994357,5.181845,4.8599253,5.038182,5.1545157,5.6291666,4.8614583,5.497558,5.170055,5.2586145,5.0432515,5.4604497,5.226041,5.2905993,5.0945196
1_10_Adv_6,22,5.024968,5.0281053,4.926329,5.011563,4.824306,5.0211525,4.8667994,4.832588,4.926706,5.733268,5.316242,4.8626885,4.682408,6.1457787,4.745941,5.0689287,5.309001,4.7574716,5.0596886,6.9374685,6.3619595,5.0921855,4.789599,5.097187,5.02737,4.896455,4.951943,4.7263827,5.5260315,5.029303,4.835736,5.062284,5.3474226,5.060398,5.0597043,5.0969143
1_10_Adv_6,23,4.266399,4.427381,4.5065036,4.311747,4.4270463,4.2721057,4.1152825,4.1161013,4.297722,4.3945274,4.1187997,4.1793385,4.034819,4.411354,4.3268514,4.2905006,4.228795,4.22686,4.203886,4.815986,4.499482,4.3145485,4.4965105,4.276316,4.2549963,4.2589097,3.8469238,4.279785,4.1668262,4.227542,4.1429124,4.12611,4.1958747,4.139099,4.3360558,4.095436
1_10_Adv_7,24,4.2196627,4.032323,4.18913,4.2898154,4.202451,4.187312,3.9551191,3.999397,4.037349,4.4897,4.185237,4.5438995,4.4267755,4.579797,4.3247128,4.300959,4.3906918,4.508688,4.394243,5.4087114,4.678707,4.606993,4.400291,4.326873,4.2640166,4.0461884,3.9481165,3.936091,4.640416,4.503847,4.3368697,4.253603,4.443599,4.4870324,4.287612,4.2207003
1_10_Adv_7,25,5.097035,4.859855,5.0060544,5.2812786,5.082631,5.094215,4.8969336,4.904618,5.0759835,6.25078,5.7942705,5.596049,5.1974325,6.2961087,5.0995226,5.480388,5.973194,5.5286574,5.18189,6.6677394,6.4574447,5.965148,5.479537,5.2964754,5.044904,5.4550314,5.475169,4.690843,6.003197,5.566463,4.9214525,5.218773,5.492168,5.636964,5.2427416,5.2590566
1_10_Adv_7,26,5.117652,5.0056505,5.142886,5.4188433,5.2582636,5.250076,5.2067065,5.2374096,5.588827,5.3476458,5.258281,4.973932,5.039979,5.5742364,5.296908,5.3555026,5.815921,5.4598002,5.460842,5.6472883,5.547351,5.429494,5.5165434,5.5580006,5.1580105,5.244127,5.434961,5.3686037,5.6919985,5.3207006,5.302079,5.1698637,5.00278,5.3591146,5.092206,5.1787252
1_10_Adv_7,27,3.980958,3.9758787,3.7570634,4.006339,3.9745245,3.8722374,3.9880452,3.9663558,4.1493373,3.9594843,3.8532722,3.9545643,3.862084,4.199486,3.9914856,4.0662875,4.093387,3.856116,3.8999488,4.726039,4.3122377,4.053489,4.06215,4.1777296,3.7724495,3.707898,3.5885997,3.658389,4.1331325,4.111481,4.0905976,3.9313815,4.088922,4.1782255,4.087648,3.737072
1_10_Ele_1,0,3.1228878,3.030905,3.1329825,3.4868186,3.453425,3.2696114,2.9181612,2.9582124,2.9739869,4.7287374,4.017844,3.65947,3.5497098,4.484677,3.5671575,3.3676438,4.311648,3.661977,3.3431785,5.55945,4.7877774,4.0353775,3.7097101,3.540332,2.9621422,2.965925,3.0465226,2.962246,4.295315,3.8177443,3.2260911,3.114695,3.667468,3.6010146,3.4020596,3.2720363
1_10_Ele_1,1,3.582458,3.4248412,3.567083,3.681926,3.3723538,3.5546148,3.4216707,3.4890397,3.5336187,4.3870125,4.067512,3.7480967,3.4947264,4.447742,3.7788496,3.5815108,4.3104854,3.9009516,3.6971023,5.306388,4.4737067,4.0937395,3.8734994,3.5508254,3.523549,3.5201569,3.5369937,3.464998,4.359909,4.0401807,3.6070733,3.5390866,3.9238522,3.8427851,3.9485073,3.6732476
1_10_Ele_1,2,4.470393,4.7325535,4.9550285,5.0603557,5.0165,5.136509,4.6038837,4.607697,4.7195654,5.6756606,5.346577,5.3179393,5.3024054,5.743343,5.0121727,4.7997108,5.3880315,5.207321,5.067745,5.959094,5.6323953,5.5193505,5.2943215,5.2355204,4.832558,4.783142,4.970331,4.5168343,5.6559825,5.2587585,5.0012555,4.6831245,5.332841,5.185889,5.2391706,5.1097927
1_10_Ele_2,3,4.3191667,4.272867,4.770852,4.7765355,4.5056615,4.415703,4.3539343,4.277368,4.49332,4.613813,4.532151,4.3812785,4.3519745,5.020012,4.610809,4.6716757,4.843716,4.6500483,4.801273,5.379074,4.9258013,4.907975,4.8098693,4.702662,4.687257,4.5171475,4.770354,4.3009353,5.0152025,4.780262,4.5273294,4.422514,4.723319,4.83262,4.508617,4.578115
1_10_Ele_2,4,4.440354,4.4487677,4.5567446,4.3656683,4.4663477,4.409096,4.5515013,4.5124273,4.6000166,4.856393,4.596452,4.4696474,4.2856793,5.1706133,4.4291244,4.408771,4.873705,4.669363,4.745344,5.1976175,4.9419703,4.5840983,4.5679812,4.475578,4.6143765,4.3181143,4.730248,4.2551,4.817464,4.5774236,4.564296,4.5087976,4.6637144,4.636072,4.4737897,4.463856
1_10_Ele_2,5,4.4012766,4.467212,4.5553784,4.4696817,4.542421,4.52233,4.4821873,4.501956,4.647633,4.64084,4.6712546,4.6494703,4.8013663,5.109359,4.704427,4.641004,4.366556,4.4622684,4.7167244,5.4080005,4.7804575,4.8297973,4.8108454,4.663071,4.700849,4.521356,4.7567377,4.676066,5.009145,4.625262,4.666693,4.572067,4.687551,4.6067963,4.6990957,4.6839294
1_10_Ele_2,6,4.7424417,4.9097,4.977866,5.0037065,5.023578,4.9393435,4.929339,4.995936,5.290914,4.8399124,4.963717,4.9390106,5.111459,5.116976,4.849517,4.94941,4.8553243,4.85894,4.846403,5.169378,5.116827,5.0094466,5.0693407,5.0715146,4.832758,4.873766,4.7637467,4.78424,5.084089,5.0382895,4.7465663,4.9410157,5.053229,4.993812,4.8497295,5.060498
1_10_Ele_3,7,3.948793,3.9874415,4.1338043,4.1573772,4.216141,4.102655,3.8582194,3.8962603,4.0177593,4.586663,4.4888043,4.4623823,4.451312,4.82955,4.381025,4.3269978,4.6197195,4.15141,4.124568,5.104722,4.843458,4.579804,4.4591594,4.263003,3.9254646,4.016579,4.0179114,3.8826647,4.859772,4.581283,4.150592,4.2099195,4.491871,4.39198,4.385462,4.0686407
1_10_Ele_3,8,3.762336,3.9170337,3.823886,3.902533,3.7296906,3.8620863,3.8820877,3.8185828,3.9934955,3.8214507,3.7645605,3.6529617,3.5742335,4.110238,3.806225,3.856661,3.7801993,3.8174717,3.6814618,4.321082,4.1139107,3.9031274,3.853497,3.9489162,3.8591123,3.9451299,4.0403647,4.0593376,4.0698175,3.8212445,3.8587356,3.713739,4.0827794,3.9751976,3.7980351,3.926948
1_10_Ele_4,9,4.7709756,4.9660077,4.5047045,4.9181066,4.8143396,4.964701,4.8949084,4.859767,5.186041,5.006873,4.619323,4.7407293,4.6394176,5.120503,4.869099,4.828574,4.7258377,4.78365,4.6901116,5.6856136,5.434802,5.2726293,4.9747987,5.022007,5.1735063,4.866696,5.7119107,4.951694,5.233398,4.994167,4.9108553,4.4930005,5.0948386,4.708977,4.89087,5.035303
1_10_Ele_4,10,3.8727968,3.8364263,3.9593966,3.852263,3.9835627,4.0344124,3.844596,3.8543298,4.0463843,5.1224008,4.4448214,4.231461,4.1151104,5.2275457,4.185361,4.019666,4.851977,4.080215,4.019054,6.258516,5.451791,4.7039027,4.143372,4.494575,3.8996847,3.91893,4.1051035,3.9411917,4.802623,4.2903576,3.9791067,4.004573,4.2397075,4.233935,4.0330224,4.0472803
1_10_Ele_4,11,4.9351416,4.8535275,4.8561583,4.7927814,4.760091,4.799441,4.669573,4.844399,5.138163,4.762971,4.8367395,4.798965,4.600027,4.960882,4.865694,4.8632727,4.7624645,4.8734913,4.7781277,5.44092,5.1342945,5.0698514,4.6891465,4.904067,4.852685,4.846613,4.639377,4.955404,4.96836,4.7669086,4.7489758,4.8401165,5.1517115,4.863466,4.943824,4.6285954
1_10_Ele_4,12,4.093664,4.0019526,4.519427,4.4471316,4.4792504,4.4728427,4.170753,4.308831,4.5064898,4.665287,4.718488,4.789262,4.45584,4.79235,4.6788354,4.620495,4.5245624,4.472696,4.4165797,4.824102,4.9517584,4.425121,4.4185066,4.641515,4.196688,4.1246076,3.8715277,4.1097097,4.661141,4.42669,4.45039,4.1098886,4.309345,4.6799297,4.5567226,4.377084
1_10_Ele_4,13,4.0393414,4.0332656,4.3169703,4.565405,4.401094,4.260433,4.124979,3.9727664,4.0537434,4.9156632,4.708635,4.413311,4.4395075,5.288297,4.769183,4.5433455,5.113371,4.6225195,4.569301,5.8099594,5.26333,4.6989894,4.6889777,4.5497727,3.7876933,3.7953925,3.9935076,3.7571874,5.009633,4.965821,4.3646927,4.3352766,4.5390935,4.614256,4.467421,4.3117256
1_10_Ele_5,14,4.586276,4.450148,4.9238715,5.0984917,4.732126,4.9931817,4.5204625,4.627512,4.7806487,6.968193,6.0881624,5.347779,4.972156,6.7051544,5.069386,5.3591294,6.213048,5.1427493,5.010894,8.47634,6.9461327,5.5600643,5.0261164,5.343681,4.4614854,4.3115983,4.641166,4.3116484,6.1010604,5.5575223,4.952083,4.7901406,5.294408,5.202684,5.149954,5.164106
1_10_Ele_5,15,3.5045357,3.7035189,3.8637862,3.9847634,3.9076586,3.7476304,3.6008804,3.5841398,3.7189224,4.379371,4.0412993,3.960398,3.8966873,4.4644017,4.1197567,4.034872,4.170297,3.896076,3.9644327,5.248698,4.720731,4.0680346,4.084578,3.9289062,3.7504778,3.4654336,4.335849,3.5925293,4.5148354,4.063046,3.7801964,3.717785,4.2668095,4.166006,3.935843,3.7585068
1_10_Ele_5,16,5.545082,5.532227,5.69425,5.691274,5.6866126,5.9414363,5.5022874,5.556038,5.687563,6.0467715,5.7941833,5.7828126,5.554186,6.3495793,5.9119573,5.7655187,5.743424,5.672829,5.952459,6.9972816,6.244821,5.7177653,5.799896,5.8173423,5.555074,5.6129622,5.724167,5.4530587,6.093406,5.9599414,5.7349124,5.712753,5.8354945,5.890257,5.7722497,5.7598557
1_10_Ele_5,17,4.6863513,4.838105,4.887528,5.108801,5.1077776,4.98364,4.620358,4.502952,4.653827,5.642921,5.2139106,5.5031595,4.993212,5.929167,5.1856565,5.0500684,5.3674946,5.0350695,5.0378704,6.157135,5.558573,5.227071,5.2136736,5.0525026,4.5313807,4.5652013,4.7237644,4.5238504,5.443804,5.2108364,4.9519567,4.846992,4.99926,5.052448,5.0726113,5.198357
1_10_Ele_6,18,4.4746885,4.1509485,4.770068,4.972909,4.620639,5.008855,4.367942,4.286495,4.3875346,6.363715,5.8833003,5.4273424,5.32299,6.311557,5.425365,5.2755575,5.9338484,5.376977,4.9037805,7.0361967,6.2221694,5.336858,4.9555054,4.8789816,4.237556,4.2786493,4.94983,4.36275,5.7783074,5.203301,5.105075,4.6641254,5.232696,5.1442003,4.718047,4.845185
1_10_Ele_6,19,3.951191,3.9069238,3.9040892,3.8656108,3.970014,3.948761,3.8834238,3.8567233,3.948122,4.431552,4.2607493,3.8987846,3.9901168,4.621695,4.073597,3.8948092,4.2795906,4.1137605,3.9855008,4.999758,4.3636794,3.8694894,3.7198508,3.9509463,3.9414644,3.7915242,4.027559,3.454928,3.9070346,3.8273969,3.8503444,4.011702,3.8991134,3.8322952,3.7190318,3.979441
1_10_Ele_6,20,4.5434556,4.4297657,4.6520553,4.7688622,4.774597,4.412615,4.6622963,4.6206665,4.7894664,4.8027334,4.791337,4.6904655,4.5753765,4.9891214,4.5132494,4.9441776,4.7142186,4.7657633,4.5172668,5.21949,5.22551,4.976269,4.937273,4.91756,4.4300523,4.575455,4.6018643,4.6355853,4.9494348,4.904654,4.726762,4.7393694,4.84778,4.891693,4.633497,4.460646
1_10_Ele_6,22,4.736704,4.705091,4.53732,4.662509,4.4932313,4.714027,4.5337768,4.4976454,4.6066933,5.3841057,4.9057784,4.5478745,4.417697,5.9218817,4.4289618,4.7419524,4.914051,4.474325,4.754339,6.4825454,6.1085267,4.7988973,4.4589458,4.7762346,4.6361804,4.5063844,4.6611843,4.3953023,5.180577,4.700517,4.48443,4.7260804,5.0066547,4.7647724,4.7150574,4.7376885
1_10_Ele_7,24,6.570268,5.953691,6.5476227,6.613995,6.132009,6.1953225,5.792774,6.0664916,6.22821,6.577635,6.130669,6.69066,6.771361,6.676843,6.284723,6.4510665,6.3427997,6.7977376,6.632936,7.715212,6.9761405,6.722612,6.164839,6.1348953,7.302522,6.519734,6.0751953,6.3012695,6.4618397,6.443077,6.3068466,6.1701283,6.6025143,6.927675,6.323759,6.6279182
1_10_Ele_7,25,4.290834,4.2126274,4.4203777,4.3251014,4.352798,4.3663216,4.3542027,4.399702,4.6316977,5.361517,4.947972,4.572247,4.612297,5.261884,4.536627,4.540877,5.2126355,4.59948,4.569158,6.3970985,5.595436,4.7465096,4.502981,4.5118356,4.2873583,4.365987,4.390435,4.125736,5.1041684,4.6849327,4.258788,4.2829056,4.3312745,4.540636,4.3688035,4.438665
1_10_Ele_7,26,5.156229,4.991994,5.1521564,5.468068,5.1299386,5.2218103,5.086839,5.1072392,5.4778466,5.3984237,5.1502676,4.8645134,4.90227,5.550668,5.107196,5.262259,5.6674414,5.3541083,5.452796,5.784838,5.3698797,5.34737,5.474534,5.5205765,5.152442,5.246784,5.489258,5.283789,5.6300325,5.3279266,5.2849655,5.0341077,4.9663124,5.1452703,5.0727634,5.1359057
1_10_Ele_7,27,3.8491066,3.885363,3.7970452,4.0230975,3.9971402,3.9282024,3.8410325,3.8488135,3.9649665,4.080446,3.9245267,3.9727511,3.9860935,4.299761,4.067703,4.1032085,4.122766,3.8572261,3.9589558,4.8027143,4.4192066,4.037284,4.105092,4.154863,3.7745376,3.6705632,3.5668385,3.5993462,4.2505,4.1871095,4.101053,3.933291,4.141144,4.1920195,4.1413765,3.732286
1_1_Adv_1,28,3.0612392,3.1230705,3.0843754,3.3990197,3.2994266,3.3418064,3.0057526,3.0006459,3.0627282,3.910915,3.778196,3.62208,3.5653064,4.2952967,3.577226,3.34729,3.7008247,3.5206997,3.2358398,4.793537,4.298385,3.8253653,3.7008324,3.611252,2.9867637,3.0579553,2.8594098,2.8830829,4.119327,3.9926236,3.347471,3.137222,4.004385,3.3894155,3.446149,3.1973853
1_1_Adv_1,29,3.669727,3.6397817,4.194799,3.9893246,4.026964,3.823411,3.6478183,3.6494677,3.8998249,4.6128235,4.307231,4.093718,4.0340595,4.760318,4.286458,4.0806856,4.862023,4.4223003,4.347229,5.198362,4.745413,4.17907,4.445557,4.2417216,3.6581693,3.6921782,3.995796,3.705647,4.884665,4.558563,4.08158,3.7691572,4.405005,4.028397,3.9787736,3.9656556
1_1_Adv_1,30,3.6395242,3.6215057,3.63313,3.7547607,3.8802607,3.9184015,3.25625,3.266765,3.4756413,4.120939,4.116161,3.6764796,3.8273613,4.591692,4.0061927,3.9054046,4.3843718,3.884151,3.9927151,5.722358,4.671671,4.10287,4.2168016,4.1931167,3.441365,3.4434314,4.3631687,3.4593298,4.6923137,4.0663204,3.7582998,3.7119958,4.1577,4.0756764,4.0084896,3.8276956
1_1_Adv_1,31,4.0478525,3.8585384,4.031435,4.4281254,4.046747,4.0553956,3.8725789,3.9120388,4.1687446,4.842602,4.7086673,4.6398215,4.2595987,5.17097,4.5206842,4.754908,4.77467,4.2909355,4.2799497,5.626812,5.244806,4.7641377,4.8014717,4.453057,3.9139078,4.103977,4.194695,3.7885456,5.0658364,4.707156,4.356412,4.1685505,4.759962,4.6155553,4.4920697,4.3724937
1_1_Adv_2,32,3.8939073,3.8199592,4.115287,3.9645958,3.885653,3.9897811,3.7436407,3.7671711,3.9482908,4.72169,4.3319387,4.2973895,4.235163,4.695416,4.432158,4.298091,4.4243326,4.428998,3.920959,5.085235,4.6534433,4.823071,4.685989,4.343453,3.9438798,3.7651079,3.628011,3.7385092,4.5270333,4.2142663,4.039868,4.0414753,4.4989295,4.3998203,4.3743587,4.2003665
1_1_Adv_2,33,4.711942,4.848627,4.755555,4.491897,4.638985,4.6808734,4.678499,4.7305384,5.03923,4.856535,4.7123556,4.729157,4.735778,4.97613,4.7945867,4.840681,4.8910522,4.9254293,4.752892,5.4012165,4.8398747,4.873795,4.8319225,4.8630886,4.6309743,4.6074953,4.1736064,4.647827,5.0093455,4.911194,4.8477235,4.6080737,4.9029565,4.9393044,4.7671967,4.8782887
1_1_Adv_2,34,2.961986,2.6130276,3.0651443,3.1430156,2.9715195,2.9884412,2.8665676,2.9678123,3.0978227,3.5280907,3.2880573,2.9930515,2.891361,3.841224,3.3816853,3.2113655,3.3717659,3.1216297,3.0953643,4.3793297,4.0243835,3.7084446,3.4522035,3.2522,2.8672597,2.9919677,2.7426484,2.7110183,3.656195,3.3951344,3.020389,2.9263446,3.292036,3.1543007,3.0209455,2.9540234
