index,text_id,s_idx,sentence,align_idx,level,unique_paragraph_id,total_integration_cost,avg_integration_cost,max_integration_cost
14,1_10_3,1.0,"Kakali has badgered the government and a major Greek bank into promising an ATM within weeks but she still feels it may come too late for this season on an island where tourism dwarfs the two other sources of income: fishing and agriculture: ""We have almost no reservations in August, when usually we have people calling us up asking to find a room and we can't help them.""",7,Adv,1_10_Adv_3,35.0,0.43209876543209874,3.0
15,1_10_3,2.0,A hard winter ahead may be slightly improved by 50 workers billeted in the village to expand the harbor but there is an even bigger crisis looming because the government has said it will end a decades-old tax break for islands.,8,Adv,1_10_Adv_3,19.0,0.41304347826086957,2.0
16,1_10_3,1.0,"Kakali has asked the government and a major Greek bank to install an ATM, and this should arrive soon. But tourism is the main business on the island, and she feels the ATM may come too late for this season. ""We have almost no reservations in August, when usually we are full.""",7,Ele,1_10_Ele_3,19.0,0.296875,2.0
17,1_10_3,4.0,But there is an even bigger crisis ahead - the government has said it will end a tax break for islands.,8,Ele,1_10_Ele_3,7.0,0.30434782608695654,1.0
18,1_10_4,1.0,"Created to help island communities survive when they were suffering mass emigration, a lower sales tax contained the costs of living in places where everything had to be imported and made tourism more affordable.",9,Adv,1_10_Adv_4,23.0,0.5897435897435898,3.0
19,1_10_4,2.0,"Tourist favorites such as Mykonos fear that losing the tax breaks will make it hard for them to compete with Turkey but, for Agios Efstratios, it poses a far greater threat.",10,Adv,1_10_Adv_4,14.0,0.4,4.0
20,1_10_4,3.0,"""If we have to pay a tax of 23%, I'm sorry to say it but we will all die on the island,"" says Kakali.",11,Adv,1_10_Adv_4,18.0,0.5454545454545454,5.0
21,1_10_4,4.0,"Food and fuel are already more expensive than on mainland Greece, there are no economies of scale and little economic flexibility on an island which, even in summer, has only three shops, two restaurants and not a single official hotel.",12,Adv,1_10_Adv_4,19.0,0.3877551020408163,3.0
22,1_10_4,5.0,"""This is an expensive island. Everything, even milk or bread, has changed hands three or four times before it gets to us and each middleman has to take a profit,"" said Provatas Costas, a 58-year-old fisherman.",13,Adv,1_10_Adv_4,32.0,0.6956521739130435,16.0
23,1_10_4,1.0,The sales tax break was created to help people on islands survive when lots of people were emigrating.,9,Ele,1_10_Ele_4,18.0,0.8571428571428571,5.0
24,1_10_4,2.0,"Islands that are popular with tourists, such as Mykonos, fear that losing the tax break will make things very hard for them. But, for Agios Efstratios, it is a much bigger problem.",10,Ele,1_10_Ele_4,14.0,0.35,4.0
25,1_10_4,4.0,"""If we have to pay a tax of 23%, we will all die on the island,"" says Kakali.",11,Ele,1_10_Ele_4,15.0,0.5769230769230769,5.0
26,1_10_4,5.0,"Food and fuel are already more expensive than on mainland Greece. Even in summer, the island has only three shops, two restaurants and not one official hotel.",12,Ele,1_10_Ele_4,15.0,0.4166666666666667,5.0
27,1_10_4,7.0,"""This is an expensive island. Everything, even milk or bread, has been bought and sold three or four times by middlemen before it gets to us and so is very expensive,"" said Provatas Costas, a 58-year-old fisherman.",13,Ele,1_10_Ele_4,22.0,0.4583333333333333,10.0
28,1_10_5,1.0,"For Agios Efstratios and its closest large neighbor, Lemnos, the timing of the crisis is particularly cruel.",14,Adv,1_10_Adv_5,12.0,0.5714285714285714,7.0
29,1_10_5,2.0,They were condemned to relative obscurity for years in part because they are served by slow and unreliable ferries.,15,Adv,1_10_Adv_5,8.0,0.36363636363636365,2.0
30,1_10_5,3.0,"In 2015, the government had finally given the contract to a new, efficient company, drawing floods of new visitors to explore the islands' largely overlooked charms, before the bank controls hit.",16,Adv,1_10_Adv_5,16.0,0.4,4.0
31,1_10_5,4.0,"""This season started out as the best season in 30 years and, in one week, became the worst,"" said Atzamis Konstantinos, a travel agent in Lemnos who used to earn €15,000 a month as a captain of petroleum tankers and other large ships but came home because he missed it so much.",17,Adv,1_10_Adv_5,22.0,0.3548387096774194,6.0
32,1_10_5,1.0,"Things are also difficult for the island of Lemnos, the closest large neighbor of Agios Efstratios.",14,Ele,1_10_Ele_5,4.0,0.21052631578947367,1.0
33,1_10_5,2.0,People saw the islands as remote for years partly because the only way to get there was by slow and unreliable ferries.,15,Ele,1_10_Ele_5,11.0,0.4583333333333333,4.0
34,1_10_5,3.0,"In 2015, they finally had new, efficient ferries and this brought many new visitors to explore these islands. But, then, the bank controls began.",16,Ele,1_10_Ele_5,11.0,0.34375,3.0
35,1_10_5,5.0,"""This season started as the best season in 30 years and, in one week, it became the worst,"" said Atzamis Konstantinos, a travel agent in Lemnos.",17,Ele,1_10_Ele_5,15.0,0.4411764705882353,6.0
36,1_10_6,1.0,"Lemnos has dozens of wild beaches, where even at the height of summer you can swim and sunbathe virtually alone, a small nightlife scene, and numerous cultural sites.",18,Adv,1_10_Adv_6,15.0,0.42857142857142855,6.0
37,1_10_6,2.0,Lemnos is the eighth largest island in Greece so it is in line for the first round of tax increases in autumn 2015 but far less wealthy than many smaller ones.,19,Adv,1_10_Adv_6,24.0,0.7058823529411765,16.0
38,1_10_6,3.0,"It has just over 3,000 beds for visitors, compared with tens of thousands on an island such as Rhodes.",20,Adv,1_10_Adv_6,8.0,0.36363636363636365,1.0
39,1_10_6,4.0,"Its councilors say that they will fight the tax rise, although none can say how.",21,Adv,1_10_Adv_6,7.0,0.4117647058823529,2.0
40,1_10_6,5.0,"""We have been suffering economically in recent years and, now, we will suffer more,"" said Lemnos Mayor, Dimitris Marinakis.",22,Adv,1_10_Adv_6,11.0,0.39285714285714285,5.0
41,1_10_6,6.0,"""When there is not enough money, you reduce your consumption and therefore the whole economy declines.""",23,Adv,1_10_Adv_6,10.0,0.45454545454545453,3.0
42,1_10_6,1.0,"Lemnos has wild beaches, where you can swim and sunbathe almost alone, a small nightlife scene and many cultural sites.",18,Ele,1_10_Ele_6,8.0,0.32,2.0
43,1_10_6,2.0,Lemnos is the eighth largest island in Greece so it will have to pay the first round of tax increases in autumn 2015. But Lemnos is far less wealthy than many smaller islands.,19,Ele,1_10_Ele_6,11.0,0.2972972972972973,2.0
44,1_10_6,4.0,"It has just over 3,000 beds for visitors - Rhodes, for example, has tens of thousands of beds.",20,Ele,1_10_Ele_6,11.0,0.5,3.0
45,1_10_6,5.0,"""We have been suffering economically in recent years and now we will suffer more,"" said Lemnos Mayor, Dimitris Marinakis.",22,Ele,1_10_Ele_6,11.0,0.4230769230769231,5.0
48,1_10_7,1.0,"If taxes go up, even more young people will leave, warns Mayor Kakali, who has devoted her year in office to improving education on the island to help keep it an attractive place for families.",24,Adv,1_10_Adv_7,19.0,0.4523809523809524,2.0
49,1_10_7,2.0,"Because it is one of the smallest islands, Agios Efstratios has until 2017 before the rise is due to come in, so Kakali hopes that the roller coaster of Greek politics means it yet may be spared.",25,Adv,1_10_Adv_7,22.0,0.5238095238095238,7.0
50,1_10_7,3.0,"If not, though, she plans to travel to Athens to remind the distant government what the tax rise would cost.",26,Adv,1_10_Adv_7,10.0,0.4166666666666667,3.0
51,1_10_7,4.0,"""The truth is the government doesn't pay much attention to the islands of the north Aegean,"" she said, ""so I would take all the kids from our school to the gates of parliament, to tell them: 'There is still life in these islands'.""",27,Adv,1_10_Adv_7,45.0,0.7894736842105263,24.0
52,1_10_7,1.0,"If taxes go up, more young people will leave, warns Mayor Kakali.",24,Ele,1_10_Ele_7,10.0,0.5882352941176471,2.0
53,1_10_7,2.0,"Because it is one of the smallest islands, Agios Efstratios will not have to pay the tax increase until 2017. And Kakali hopes the political situation in Greece will change before then.",25,Ele,1_10_Ele_7,15.0,0.42857142857142855,3.0
54,1_10_7,4.0,"But, if not, she plans to travel to Athens to remind the distant government what the tax rise would cost.",26,Ele,1_10_Ele_7,10.0,0.4166666666666667,3.0
55,1_10_7,5.0,"""The government doesn't pay much attention to the islands of the north Aegean,"" she said, ""so I would take all the kids from our school to the gates of parliament, to tell them: 'There is still life in these islands'.""",27,Ele,1_10_Ele_7,43.0,0.7962962962962963,23.0
56,1_1_1,1.0,"Unveiling a car with a top speed of 25mph, two seats and no pedals or steering wheel might not make much of an impression at a motor show.",28,Adv,1_1_Adv_1,17.0,0.5666666666666667,9.0
57,1_1_1,2.0,"But Google, in the US, sent a minor earthquake through the car and taxi industries as it unveiled the latest version of its driverless car.",29,Adv,1_1_Adv_1,11.0,0.39285714285714285,4.0
58,1_1_1,3.0,"The electrically powered vehicle, which Google has begun testing around its headquarters in Mountain View, California, dispenses with all the normal controls, including foot pedals.",30,Adv,1_1_Adv_1,19.0,0.6129032258064516,7.0
59,1_1_1,4.0,"Instead, it has a smartphone app that summons it and tells it the destination, and a single STOP button mounted between the two front-facing seats in case the occupants need to override the computer.",31,Adv,1_1_Adv_1,15.0,0.39473684210526316,2.0
60,1_1_1,1.0,"A car with a maximum speed of 25 miles per hour, two seats and no pedals or steering wheel does not sound very interesting.",28,Ele,1_1_Ele_1,14.0,0.5185185185185185,7.0
61,1_1_1,2.0,"But Google, in the US, shocked the car and taxi industries when it unveiled the latest version of its driverless car.",29,Ele,1_1_Ele_1,11.0,0.44,4.0
62,1_1_1,3.0,"Google has begun testing the electric car at its headquarters in Mountain View, California. The car does not have all the normal car controls, such as foot pedals.",30,Ele,1_1_Ele_1,11.0,0.34375,1.0
63,1_1_1,5.0,"Instead, it has a smartphone app that calls it and tells it the destination, and a STOP button between the two seats in case the passengers need to override the computer.",31,Ele,1_1_Ele_1,18.0,0.5,5.0
64,1_1_2,1.0,"The car, in fact, takes over all the tasks of navigation, steering, acceleration and braking.",32,Adv,1_1_Adv_2,9.0,0.45,2.0
65,1_1_2,2.0,The company is building about 100 prototypes for a two-year test.,33,Adv,1_1_Adv_2,4.0,0.3333333333333333,1.0
66,1_1_2,3.0,"The company's co-founder, Sergey Brin, told a conference in California that the vehicle was ""still in the prototype stage"" but that the project was ""about changing the world for people who are not well served by transportation today.""",34,Adv,1_1_Adv_2,20.0,0.4166666666666667,2.0
67,1_1_2,4.0,"He said of the car: ""You're just sitting there; no steering wheel, no pedals.",35,Adv,1_1_Adv_2,6.0,0.2857142857142857,2.0
68,1_1_2,5.0,"For me, it was very relaxing. About ten seconds after getting in, I forgot I was there.",36,Adv,1_1_Adv_2,8.0,0.36363636363636365,4.0
69,1_1_2,6.0,"It reminded me of catching a chairlift by yourself - a bit of solitude I found really enjoyable.""",37,Adv,1_1_Adv_2,7.0,0.3333333333333333,2.0
70,1_1_2,1.0,The company is building about 100 prototypes for a two-year test.,33,Ele,1_1_Ele_2,4.0,0.3333333333333333,1.0
71,1_1_2,2.0,"The company's co-founder, Sergey Brin, said that the vehicle was still just a prototype. He says that they want to change the world for people who do not find it easy to use transportation today.",34,Ele,1_1_Ele_2,19.0,0.4634146341463415,2.0
72,1_1_2,4.0,"Talking about the car, he said, ""You're just sitting there; no steering wheel, no pedals.",35,Ele,1_1_Ele_2,8.0,0.34782608695652173,2.0
73,1_1_2,5.0,"For me, it was very relaxing. About ten seconds after getting into the car, I forgot I was there.",36,Ele,1_1_Ele_2,11.0,0.4583333333333333,6.0
74,1_1_2,6.0,"I found it really fun.""",37,Ele,1_1_Ele_2,1.0,0.125,1.0
76,1_1_3,1.0,"Google says that the principal aim of the project is to improve safety and that, because the car is constructed with impact-absorbing foam at the front and a plastic windscreen, ""it should be far safer than any other car for pedestrians"".",38,Adv,1_1_Adv_3,26.0,0.5416666666666666,5.0
77,1_1_3,2.0,"The cars, which have been built specially by a company (as yet unnamed) in Detroit, will be used to investigate further how best to make driverless vehicles work.",39,Adv,1_1_Adv_3,16.0,0.42105263157894735,5.0
78,1_1_3,3.0,"Google will now run a program to test the cars further, which are not yet for sale.",40,Adv,1_1_Adv_3,8.0,0.4,2.0
79,1_1_3,1.0,"Google says that the aim of the project is to improve safety. They say that the car is made with foam at the front and a plastic windscreen, so ""it should be far safer than any other car for pedestrians.""",38,Ele,1_1_Ele_3,22.0,0.46808510638297873,4.0
80,1_1_3,3.0,The cars have been built specially by a company in Detroit.,39,Ele,1_1_Ele_3,5.0,0.38461538461538464,2.0
81,1_1_3,4.0,"Google will now test the cars, which are not yet for sale.",40,Ele,1_1_Ele_3,6.0,0.4,2.0
82,1_1_4,1.0,One challenge is creating high-definition scans of the roads and surroundings before the cars can drive along them because they cannot gather and process enough information in real time.,41,Adv,1_1_Adv_4,12.0,0.3870967741935484,2.0
83,1_1_4,2.0,"So far, there are high-detail maps of about 2,000 miles of California's roads, but the state has more than 170,000 miles of public roads.",42,Adv,1_1_Adv_4,9.0,0.3103448275862069,2.0
84,1_1_4,3.0,Google says it is interested in licensing the technology to traditional vehicle manufacturers once it has refined it sufficiently.,43,Adv,1_1_Adv_4,6.0,0.3,1.0
85,1_1_4,4.0,"Members of the team had been working on the project even before joining Google, for more than a decade.",44,Adv,1_1_Adv_4,8.0,0.38095238095238093,2.0
86,1_1_4,1.0,"There need to be detailed scans of the roads before the cars can drive on them, because they cannot collect and process enough information in real time.",41,Ele,1_1_Ele_4,11.0,0.36666666666666664,2.0
87,1_1_4,2.0,"So far, there are detailed maps of about 2,000 miles of California's roads, but California has more than 170,000 miles of roads.",42,Ele,1_1_Ele_4,9.0,0.3333333333333333,2.0
88,1_1_4,3.0,Google says it wants to license the technology to traditional car makers when they have improved it.,43,Ele,1_1_Ele_4,9.0,0.47368421052631576,2.0
90,1_1_5,1.0,But the prospect of driverless cars replacing human-driven taxis has been the cause of some alarm.,45,Adv,1_1_Adv_5,13.0,0.7647058823529411,8.0
91,1_1_5,2.0,"""If you get rid of the driver, then they're unemployed,"" said Dennis Conyon, the south-east director for the UK National Taxi Association.",46,Adv,1_1_Adv_5,10.0,0.3225806451612903,2.0
92,1_1_5,3.0,"""It would have a major impact on the labor force.""",47,Adv,1_1_Adv_5,3.0,0.23076923076923078,1.0
93,1_1_5,4.0,"London has about 22,000 licensed cabs and Conyon estimates that the total number of people who drive taxis for hire in the UK is about 100,000.",48,Adv,1_1_Adv_5,22.0,0.8148148148148148,11.0
94,1_1_5,1.0,But the idea that driverless cars will replace taxis with human drivers has alarmed some people.,45,Ele,1_1_Ele_5,19.0,1.1176470588235294,12.0
95,1_1_5,2.0,Dennis Conyon from the UK National Taxi Association said that taxi drivers will become unemployed.,46,Ele,1_1_Ele_5,6.0,0.375,2.0
96,1_1_5,3.0,"London has about 22,000 taxis and Conyon thinks that the total number of people who drive taxis in the UK is about 100,000.",48,Ele,1_1_Ele_5,19.0,0.7916666666666666,9.0
98,1_1_6,1.0,"However, Steve McNamara, general secretary of the 10,500-strong London Taxi Drivers' Association, said: ""You won't get these driverless cars in London for 20 or 25 years.",49,Adv,1_1_Adv_6,14.0,0.4,7.0
99,1_1_6,2.0,"Maybe, by then, they'll have a charge point - because there isn't a single one in London now.""",50,Adv,1_1_Adv_6,6.0,0.24,2.0
100,1_1_6,3.0,"Other car makers, including Volvo, Ford and Mercedes, are working on driver-assisted vehicles, which, unlike Google's version, do not dispense with the driver controls.",51,Adv,1_1_Adv_6,16.0,0.5,5.0
101,1_1_6,4.0,"But Chris Urmson, director of the self-driving car project at Google, said that the new prototypes dispensed with the steering wheel and brakes because there was no guarantee that a human occupant would be able to take over in an emergency, and that it was simpler just to have an emergency stop button.",52,Adv,1_1_Adv_6,25.0,0.43859649122807015,8.0
102,1_1_6,1.0,"Other car makers, including Volvo, Ford and Mercedes, are going to make vehicles that will be different from Google's version because they will have driver controls.",51,Ele,1_1_Ele_6,20.0,0.6451612903225806,6.0
103,1_1_6,2.0,"But Chris Urmson, director of the driverless car project at Google, said that the new prototypes do not have a steering wheel or brakes because a human passenger might not be able to take control in an emergency. He said that it was simpler just to have an emergency stop button.",52,Ele,1_1_Ele_6,25.0,0.45454545454545453,8.0
106,1_1_7,1.0,"Urmson said: ""The vehicles will be very basic.",53,Adv,1_1_Adv_7,3.0,0.25,1.0
107,1_1_7,2.0,We want to learn from them and adapt them as quickly as possible.,54,Adv,1_1_Adv_7,4.0,0.26666666666666666,2.0
108,1_1_7,3.0,But they will take you where you want to go at the push of a button.,55,Adv,1_1_Adv_7,7.0,0.3888888888888889,2.0
109,1_1_7,4.0,"And, that's an important step towards improving road safety and transforming mobility for millions of people.""",56,Adv,1_1_Adv_7,6.0,0.3,1.0
110,1_1_7,5.0,"So far, the Google versions of the self-driving cars have covered 700,000 miles without an accident caused by the computer.",57,Adv,1_1_Adv_7,11.0,0.4782608695652174,5.0
111,1_1_7,6.0,The company points out that thousands of people die each year on the roads and that about 80% of crashes can be ascribed to human error.,58,Adv,1_1_Adv_7,18.0,0.6206896551724138,5.0
112,1_1_7,7.0,"But, they could have some way to go to match Conyon at the National Taxi Association.",59,Adv,1_1_Adv_7,6.0,0.3333333333333333,1.0
113,1_1_7,8.0,"Aged 79, he has been driving a taxi for 50 years and claims never to have had an accident.",60,Adv,1_1_Adv_7,11.0,0.5238095238095238,5.0
114,1_1_7,1.0,"Urmson said: ""The vehicles will be very basic.",53,Ele,1_1_Ele_7,3.0,0.25,1.0
115,1_1_7,2.0,But they will take you where you want to go at the push of a button.,55,Ele,1_1_Ele_7,7.0,0.3888888888888889,2.0
116,1_1_7,3.0,"And, that's an important step towards improving road safety and helping millions of people travel around more easily.""",56,Ele,1_1_Ele_7,18.0,0.782608695652174,12.0
117,1_1_7,4.0,"So far, the Google versions of the driverless cars have driven 700,000 miles without an accident caused by the computer.",57,Ele,1_1_Ele_7,11.0,0.4782608695652174,5.0
118,1_1_7,5.0,The company says that thousands of people die each year on the roads and that about 80% of crashes are caused by human mistakes.,58,Ele,1_1_Ele_7,18.0,0.6666666666666666,5.0
122,1_2_1,1.0,"A nasal spray laced with the 'Love hormone' oxytocin could help children with autism learn to handle social situations better, US researchers claim.",61,Adv,1_2_Adv_1,26.0,0.9285714285714286,7.0
123,1_2_1,2.0,"Scans of children with autistic spectrum disorder showed that a single dose of the chemical improved brain responses to facial expressions, a shift that could make social interactions feel more natural and rewarding for them.",62,Adv,1_2_Adv_1,33.0,0.868421052631579,16.0
124,1_2_1,3.0,The scientists behind the research said a course of oxytocin might boost the success of behavioral therapies that are already used to help people with autism learn to cope with social situations.,63,Adv,1_2_Adv_1,22.0,0.6285714285714286,3.0
125,1_2_1,4.0,"""Over time, what you would expect to see is more appropriate social responding, being more interested in interacting with other people, more eye contact and more conversational ability,"" said Kevin Pelphrey, director of the Child Neuroscience Lab at Yale University.",64,Adv,1_2_Adv_1,24.0,0.46153846153846156,7.0
126,1_2_1,1.0,American researchers say that a nasal spray containing the 'Love hormone' oxytocin could help children with autism behave more normally in social situations.,61,Ele,1_2_Ele_1,16.0,0.6153846153846154,6.0
127,1_2_1,2.0,Scans of autistic children showed that the chemical made the brain respond better to faces. This could make social interactions easier for them.,62,Ele,1_2_Ele_1,12.0,0.46153846153846156,2.0
128,1_2_1,4.0,The researchers said oxytocin might help other treatments that are used to help people with autism in social situations.,63,Ele,1_2_Ele_1,11.0,0.5238095238095238,2.0
129,1_2_1,5.0,"""Over time, there would be more normal social responding. Autistic people would be more interested in interacting with other people; there would be more eye contact and more conversation,"" said Kevin Pelphrey, of Yale University.",64,Ele,1_2_Ele_1,21.0,0.45652173913043476,9.0
130,1_2_2,1.0,Autism is a developmental disorder seen in more than one in 100 people.,65,Adv,1_2_Adv_2,4.0,0.2857142857142857,1.0
131,1_2_2,2.0,"The condition affects individuals in different ways, but is characterized by difficulties in social interaction and communication.",66,Adv,1_2_Adv_2,8.0,0.42105263157894735,1.0
132,1_2_2,3.0,"So far, there is no effective treatment for the social problems caused by autism.",67,Adv,1_2_Adv_2,6.0,0.35294117647058826,2.0
133,1_2_2,4.0,Researchers at Yale have studied the brain chemical oxytocin as a potential treatment for the social impairments caused by autism because it plays a crucial role in bonding and trust.,68,Adv,1_2_Adv_2,13.0,0.41935483870967744,2.0
134,1_2_2,5.0,"Results have been mixed, though: one recent study found no significant benefit for youths given the chemical over several days.",69,Adv,1_2_Adv_2,10.0,0.4166666666666667,2.0
135,1_2_2,6.0,"But Pelphrey said oxytocin might help the brain learn from social interactions; it would work best when used with therapies that encourage people with autism to engage more socially, he said.",70,Adv,1_2_Adv_2,34.0,0.9444444444444444,19.0
136,1_2_2,1.0,Autism is a disorder that one in 100 people have.,65,Ele,1_2_Ele_2,6.0,0.5454545454545454,3.0
137,1_2_2,2.0,"It affects people in different ways, but causes difficulties in social interaction and communication.",66,Ele,1_2_Ele_2,7.0,0.4375,1.0
138,1_2_2,3.0,"So far, there is no effective treatment for the social problems that autism causes.",67,Ele,1_2_Ele_2,7.0,0.4117647058823529,2.0
139,1_2_2,4.0,Researchers at Yale have studied the brain chemical oxytocin. They say it is a possible treatment for the social problems caused by autism because it plays an important role in bonding and trust.,68,Ele,1_2_Ele_2,17.0,0.4857142857142857,3.0
140,1_2_2,6.0,But not all results are positive: one recent study found no significant benefit for young people who took the chemical for several days.,69,Ele,1_2_Ele_2,9.0,0.36,1.0
141,1_2_2,7.0,"But Pelphrey said oxytocin might help the brain learn from social interactions; it would work best when used together with therapies that encourage people with autism to interact more socially, he said.",70,Ele,1_2_Ele_2,34.0,0.918918918918919,19.0
142,1_2_3,1.0,"""Our study shows that oxytocin affects the brain and opens up the possibility that, when combined with behavioral treatments, it works like a social enhancer,"" he said.",71,Adv,1_2_Adv_3,27.0,0.75,11.0
143,1_2_3,2.0,The scientists used a technique called functional MRI to scan the brains of 17 youths aged eight to 16 with autism while they looked at images of cars or the eyes of people expressing various emotions. The scans were given 45 minutes after the participants inhaled a placebo or oxytocin through a nasal spray.,72,Adv,1_2_Adv_3,43.0,0.7543859649122807,18.0
144,1_2_3,3.0,"The scans showed that reward circuitry in the children's brains behaved more normally after a snort of oxytocin, being more active when the person was looking at faces and less active when viewing the inanimate cars.",73,Adv,1_2_Adv_3,18.0,0.4090909090909091,4.0
145,1_2_3,4.0,The study appears in the latest issue of the journal Proceedings of the National Academy of Sciences in the United States.,74,Adv,1_2_Adv_3,5.0,0.22727272727272727,1.0
146,1_2_3,1.0,"Scientists tested 17 young people aged eight to 16 with autism. They gave them either oxytocin or a placebo through a nose spray. Then, the scientists scanned their brains while they looked at images of cars or the eyes of people expressing different emotions.",72,Ele,1_2_Ele_3,19.0,0.3958333333333333,1.0
147,1_2_3,2.0,The scans showed that some parts of the children's brains behaved more normally after oxytocin: they were more active when the person was looking at faces and less active when the person was looking at the cars.,73,Ele,1_2_Ele_3,19.0,0.4318181818181818,4.0
150,1_2_4,1.0,"""If our study is replicated, it suggests that oxytocin might treat something for which we don't have a treatment in autism, and that's the core social motivation,"" Pelphrey told the Guardian.",75,Adv,1_2_Adv_4,26.0,0.6190476190476191,10.0
151,1_2_4,2.0,He warned that it was too early to use oxytocin as a treatment for the social difficulties caused by autism and cautioned against buying oxytocin from suppliers online.,76,Adv,1_2_Adv_4,11.0,0.36666666666666664,1.0
152,1_2_4,3.0,"""We don't want them running out on the basis of this study or any other and trying oxytocin at home.",77,Adv,1_2_Adv_4,7.0,0.30434782608695654,1.0
153,1_2_4,4.0,There is no telling what they are buying.,78,Adv,1_2_Adv_4,3.0,0.2727272727272727,2.0
154,1_2_4,5.0,We are nowhere near thinking this is a ready treatment.,79,Adv,1_2_Adv_4,3.0,0.23076923076923078,2.0
155,1_2_4,6.0,"It needs more follow-up research,"" said Pelphrey.",80,Adv,1_2_Adv_4,6.0,0.5454545454545454,3.0
156,1_2_4,7.0,"""This is an important new study in identifying changes in brain activity in key regions of the brain involved in social cognition in autism following oxytocin administration,"" said Simon Baron-Cohen, director of the Autism Research Center at Cambridge University.",81,Adv,1_2_Adv_4,27.0,0.6,12.0
157,1_2_4,1.0,"""Our study suggests that oxytocin might treat basic social motivation. This is something for which we don't have a treatment in autism,"" said Pelphrey.",75,Ele,1_2_Ele_4,20.0,0.625,5.0
158,1_2_4,3.0,He said that it was too early to use oxytocin as a treatment for the social difficulties caused by autism and said people should not buy oxytocin online.,76,Ele,1_2_Ele_4,12.0,0.4,1.0
159,1_2_4,4.0,"""We don't want them to try oxytocin at home.",77,Ele,1_2_Ele_4,4.0,0.3333333333333333,1.0
160,1_2_4,5.0,It is impossible to say what they are buying.,78,Ele,1_2_Ele_4,3.0,0.2727272727272727,2.0
161,1_2_4,6.0,This is not a treatment yet.,79,Ele,1_2_Ele_4,1.0,0.14285714285714285,1.0
162,1_2_4,7.0,"It needs more research,"" said Pelphrey.",80,Ele,1_2_Ele_4,6.0,0.6,3.0
163,1_2_4,8.0,"""This is an important new study,"" said Simon Baron-Cohen, director of the Autism Research Center at Cambridge University.",81,Ele,1_2_Ele_4,7.0,0.2916666666666667,2.0
164,1_2_5,1.0,"A surprising finding, however, is that oxytocin nasal spray did not change performance on the social cognitive task.",82,Adv,1_2_Adv_5,8.0,0.36363636363636365,2.0
165,1_2_5,2.0,Nor is it clear yet if oxytocin only has benefits for people with autism or has any unwanted side effects.,83,Adv,1_2_Adv_5,10.0,0.45454545454545453,3.0
166,1_2_5,3.0,"Finally, oxytocin effects only last about 45 minutes, so there may be practical considerations as to whether this could be used as a treatment.",84,Adv,1_2_Adv_5,9.0,0.3,3.0
167,1_2_5,4.0,"""From a scientific perspective, this study has a lot of evidence from animal and human work to justify serious attention, but more research is needed.",85,Adv,1_2_Adv_5,13.0,0.43333333333333335,3.0
