text_id,level,total_integration_cost,avg_integration_cost,max_integration_cost
1_2_5,Adv,56.0,0.4017316017316017,8.0
1_2_5,Ele,49.0,0.47033602150537634,10.0
1_2_6,Adv,39.0,0.46683893195521103,4.0
1_2_6,Ele,37.0,0.48656363130047336,6.0
1_3_1,Adv,40.0,0.42721386800334166,4.0
1_3_1,Ele,38.0,0.390752688172043,3.0
1_3_2,Adv,46.0,0.4664212451190673,9.0
1_3_2,Ele,34.0,0.43468915343915343,3.0
1_3_3,Adv,52.0,0.3504313668787353,5.0
1_3_3,Ele,49.0,0.41954073295985056,4.0
1_3_4,Adv,74.0,0.5112680969823827,11.0
1_3_4,Ele,42.0,0.45403236774105804,8.0
1_3_5,Adv,32.0,0.31085363438304614,6.0
1_3_5,Ele,40.0,0.5217785843920145,7.0
1_4_1,Adv,88.0,0.467389696785658,9.0
1_4_1,Ele,86.0,0.5909749384325655,14.0
1_4_2,Adv,95.0,0.4226655289155289,11.0
1_4_2,Ele,87.0,0.4535327503094261,12.0
1_4_3,Adv,60.0,0.4520075757575757,5.0
1_4_3,Ele,47.0,0.4537506284565108,5.0
1_4_4,Adv,84.0,0.441397200177356,6.0
1_4_4,Ele,79.0,0.4639113810166442,6.0
1_4_5,Adv,55.0,0.4498674811174811,8.0
1_4_5,Ele,58.0,0.5087301587301587,7.0
1_5_1,Adv,54.0,0.5861223542382963,11.0
1_5_1,Ele,63.0,0.6940449221150975,16.0
1_5_2,Adv,127.0,0.608020091626649,17.0
1_5_2,Ele,103.0,0.5882034632034632,17.0
1_5_3,Adv,73.0,0.47467483358010865,14.0
1_5_3,Ele,42.0,0.40301429202074823,2.0
1_5_4,Adv,105.0,0.5426398653106728,9.0
1_5_4,Ele,63.0,0.5005864822767829,9.0
1_5_5,Adv,33.0,0.3462789342655861,3.0
1_5_5,Ele,36.0,0.42480707698098996,4.0
1_6_1,Adv,40.0,0.4296805896805897,4.0
1_6_1,Ele,28.0,0.36503726158898564,4.0
1_6_2,Adv,69.0,0.47382637687515733,8.0
1_6_2,Ele,64.0,0.47925583188741083,5.0
1_6_3,Adv,42.0,0.37977392977392976,4.0
1_6_3,Ele,44.0,0.41895104895104895,4.0
1_6_4,Adv,57.0,0.48884204362465233,7.0
1_6_4,Ele,53.0,0.4547720395546483,7.0
1_7_1,Adv,87.0,0.3986496188387636,11.0
1_7_1,Ele,70.0,0.3712641747918517,11.0
1_7_2,Adv,55.0,0.33344104171690375,3.0
1_7_2,Ele,53.0,0.32822571609288875,3.0
1_7_3,Adv,94.0,0.4722889509140501,13.0
1_7_3,Ele,73.0,0.4320776349457387,14.0
1_7_4,Adv,76.0,0.37709261504624403,9.0
1_7_4,Ele,65.0,0.37769151138716356,9.0
1_8_1,Adv,62.0,0.4413900742848111,7.0
1_8_1,Ele,82.0,0.6128220611916264,12.0
1_8_2,Adv,60.0,0.375937670262613,4.0
1_8_2,Ele,49.0,0.36011647155022836,4.0
1_8_3,Adv,110.0,0.5826791465378421,11.0
1_8_3,Ele,82.0,0.5302380952380952,13.0
1_8_4,Adv,94.0,0.5356656184486372,14.0
1_8_4,Ele,90.0,0.5558712121212122,16.0
1_8_5,Adv,72.0,0.616949461777048,11.0
1_8_5,Ele,54.0,0.5847324597324598,9.0
1_9_1,Adv,49.0,0.42371175523349436,12.0
1_9_1,Ele,32.0,0.37538461538461537,6.0
1_9_2,Adv,59.0,0.3902452619843924,8.0
1_9_2,Ele,40.0,0.32675865800865794,5.0
1_9_3,Adv,37.0,0.3672969187675069,4.0
1_9_3,Ele,32.0,0.42373645110217995,4.0
1_9_4,Adv,31.0,0.2813690476190476,4.0
1_9_4,Ele,37.0,0.3369642857142857,4.0
1_9_5,Adv,71.0,0.43263612080758523,16.0
1_9_5,Ele,49.0,0.5418250058644147,11.0
1_9_6,Adv,60.0,0.37821219448877946,5.0
1_9_6,Ele,56.0,0.35119316997315814,5.0
2_10_1,Adv,58.0,0.34111168032786887,8.0
2_10_1,Ele,41.0,0.31983110930479347,4.0
2_10_2,Adv,66.0,0.4666425927597725,9.0
2_10_2,Ele,57.0,0.43921804511278195,4.0
2_10_3,Adv,55.0,0.4009852098087392,6.0
2_10_3,Ele,58.0,0.45740161798985324,4.0
2_10_4,Adv,98.0,0.5182681228519777,16.0
2_10_4,Ele,73.0,0.6168856048166392,17.0
2_1_1,Adv,91.0,0.6065320534039501,22.0
2_1_1,Ele,74.0,0.5646076998050682,13.0
2_1_2,Adv,75.0,0.44678803527100736,15.0
2_1_2,Ele,49.0,0.40988367658276126,12.0
2_1_3,Adv,60.0,0.45530303030303027,8.0
2_1_3,Ele,41.0,0.44920634920634916,8.0
2_1_4,Adv,82.0,0.3642539525691699,14.0
2_1_4,Ele,41.0,0.33074959083469724,5.0
2_1_5,Adv,82.0,0.45376623193911003,8.0
2_1_5,Ele,83.0,0.48949874686716793,19.0
2_1_6,Adv,84.0,0.45767376843728913,30.0
2_1_6,Ele,44.0,0.336513949013949,2.0
2_2_1,Adv,51.0,0.4023450841676279,4.0
2_2_1,Ele,55.0,0.4262345679012346,7.0
2_2_2,Adv,74.0,0.37693654384830855,7.0
2_2_2,Ele,73.0,0.419055316091954,5.0
2_2_3,Adv,54.0,0.40858375959079285,6.0
2_2_3,Ele,39.0,0.4047491638795987,3.0
2_2_4,Adv,31.0,0.5319954867827208,6.0
2_2_4,Ele,30.0,0.5405773420479303,4.0
2_2_5,Adv,77.0,0.41861470000014894,7.0
2_2_5,Ele,60.0,0.4538498674528086,7.0
2_2_6,Adv,36.0,0.3416621193932118,2.0
2_2_6,Ele,32.0,0.36471861471861466,2.0
2_3_1,Adv,90.0,0.5168264275407132,12.0
2_3_1,Ele,86.0,0.5404014963517166,12.0
2_3_2,Adv,87.0,0.4533860151847529,10.0
2_3_2,Ele,61.0,0.4307017543859649,14.0
2_3_3,Adv,83.0,0.49712454212454216,7.0
2_3_3,Ele,47.0,0.4433403737839221,7.0
2_3_4,Adv,78.0,0.42647559068611696,11.0
2_3_4,Ele,55.0,0.4860695136178041,7.0
2_4_1,Adv,32.0,0.29375,4.0
2_4_1,Ele,52.0,0.4982078853046595,12.0
2_4_2,Adv,49.0,0.45023532668881505,11.0
2_4_2,Ele,37.0,0.3942086398792681,11.0
2_4_3,Adv,56.0,0.46922619047619046,14.0
2_4_3,Ele,52.0,0.5607257448433919,14.0
2_4_4,Adv,56.0,0.47215787215787214,4.0
2_4_4,Ele,42.0,0.4358974358974359,4.0
2_4_5,Adv,55.0,0.4372685185185185,4.0
2_4_5,Ele,51.0,0.4619905956112852,9.0
2_4_6,Adv,43.0,0.529454390451833,4.0
2_4_6,Ele,50.0,0.5105244755244756,4.0
2_4_7,Adv,64.0,0.46518975545486674,5.0
2_4_7,Ele,35.0,0.32458619811560985,5.0
2_5_1,Adv,82.0,0.4897783740806997,22.0
2_5_1,Ele,90.0,0.7163140651896275,35.0
2_5_2,Adv,91.0,0.47797353790000846,14.0
2_5_2,Ele,63.0,0.4365191468436905,12.0
2_5_3,Adv,44.0,0.5405684754521963,7.0
2_5_3,Ele,51.0,0.5948320413436693,14.0
2_5_4,Adv,54.0,0.42524090976103357,6.0
2_5_4,Ele,79.0,0.7359427609427609,16.0
2_5_5,Adv,85.0,0.45247593718338397,12.0
2_5_5,Ele,38.0,0.41223832528180354,5.0
2_6_1,Adv,55.0,0.3647759103641456,9.0
2_6_1,Ele,75.0,0.5198867224729293,11.0
2_6_2,Adv,30.0,0.26581989063568007,2.0
2_6_2,Ele,38.0,0.31378458498023715,3.0
2_6_3,Adv,43.0,0.4186573939920796,5.0
2_6_3,Ele,34.0,0.3976190476190476,5.0
2_6_4,Adv,69.0,0.4050448591607128,5.0
2_6_4,Ele,46.0,0.40520451770451765,5.0
2_7_1,Adv,38.0,0.4235449735449735,3.0
2_7_1,Ele,32.0,0.41028295376121454,3.0
2_7_2,Adv,75.0,0.3625106684987116,13.0
2_7_2,Ele,63.0,0.4604020979020979,13.0
2_7_3,Adv,64.0,0.49414368650217705,24.0
2_7_3,Ele,36.0,0.38936507936507936,6.0
2_7_4,Adv,57.0,0.35244227020542807,3.0
2_7_4,Ele,50.0,0.36691395024728357,4.0
2_7_5,Adv,93.0,0.43007267181673786,20.0
2_7_5,Ele,68.0,0.41314412926255034,10.0
2_7_6,Adv,91.0,0.40283142783142784,8.0
2_7_6,Ele,57.0,0.4023123706004141,8.0
2_8_1,Adv,54.0,0.4975255427841635,12.0
2_8_1,Ele,42.0,0.39791666666666664,6.0
2_8_2,Adv,71.0,0.41001494796483184,7.0
2_8_2,Ele,76.0,0.42271548272419013,10.0
2_8_3,Adv,59.0,0.4607456140350877,7.0
2_8_3,Ele,51.0,0.4252412280701754,6.0
2_8_4,Adv,72.0,0.4955523068885138,10.0
2_8_4,Ele,41.0,0.4351998243302591,5.0
2_8_5,Adv,82.0,0.42340360072119193,7.0
2_8_5,Ele,59.0,0.4688479377765092,7.0
2_8_6,Adv,73.0,0.583671309714953,12.0
2_8_6,Ele,53.0,0.5791666666666666,9.0
2_9_1,Adv,58.0,0.5433286951144094,9.0
2_9_1,Ele,69.0,0.6136210421924707,17.0
2_9_2,Adv,50.0,0.4845622119815668,8.0
2_9_2,Ele,48.0,0.514074814074814,10.0
2_9_3,Adv,80.0,0.5093109593109593,11.0
2_9_3,Ele,63.0,0.5258413461538461,8.0
2_9_4,Adv,71.0,0.42035946013909536,6.0
2_9_4,Ele,63.0,0.4210894796260649,6.0
2_9_5,Adv,72.0,0.36868186454867735,13.0
2_9_5,Ele,71.0,0.4736772486772487,13.0
2_9_6,Adv,70.0,0.44976426799007446,7.0
2_9_6,Ele,31.0,0.4365036231884058,4.0
3_10_1,Adv,31.0,0.36739926739926737,4.0
3_10_1,Ele,34.0,0.3849587912087912,5.0
3_10_2,Adv,45.0,0.4132608378338929,5.0
3_10_2,Ele,38.0,0.38814846598822256,3.0
3_10_3,Adv,51.0,0.39190419399721727,7.0
3_10_3,Ele,44.0,0.4048484848484849,8.0
3_10_4,Adv,71.0,0.4169089016187787,10.0
3_10_4,Ele,80.0,0.46245859403754136,11.0
3_10_5,Adv,85.0,0.40579458329352214,9.0
3_10_5,Ele,64.0,0.34952596136806663,9.0
3_10_6,Adv,50.0,0.477639751552795,14.0
3_10_6,Ele,54.0,0.5167489515315602,14.0
3_1_1,Adv,91.0,0.4333430808220724,24.0
3_1_1,Ele,61.0,0.4000793650793651,14.0
3_1_2,Adv,39.0,0.45305278700627544,4.0
3_1_2,Ele,27.0,0.40191387559808606,3.0
3_1_3,Adv,72.0,0.4399911056376573,18.0
3_1_3,Ele,62.0,0.4305000408108393,7.0
3_1_4,Adv,88.0,0.5119682425815855,8.0
3_1_4,Ele,63.0,0.41373592785540786,8.0
3_1_5,Adv,87.0,0.45734123436228075,9.0
3_1_5,Ele,48.0,0.461602787456446,9.0
3_2_1,Adv,60.0,0.3857358307571073,11.0
3_2_1,Ele,49.0,0.34685796141563213,4.0
3_2_2,Adv,35.0,0.4263570481242895,4.0
3_2_2,Ele,42.0,0.5605113636363637,4.0
3_2_3,Adv,71.0,0.5647693147693148,7.0
3_2_3,Ele,66.0,0.5649846390168971,7.0
3_2_4,Adv,71.0,0.5250325716170118,18.0
3_2_4,Ele,67.0,0.5218245489078822,15.0
3_2_5,Adv,106.0,0.5534009617833147,12.0
3_2_5,Ele,77.0,0.4756723362421892,9.0
3_3_1,Adv,68.0,0.36059981684981685,10.0
3_3_1,Ele,74.0,0.4248263888888889,8.0
3_3_2,Adv,80.0,0.37794457472118637,6.0
3_3_2,Ele,53.0,0.3327780684923542,7.0
3_3_3,Adv,93.0,0.5017591300863518,7.0
3_3_3,Ele,80.0,0.48544680485924724,9.0
3_3_4,Adv,68.0,0.4451441785291114,8.0
3_3_4,Ele,60.0,0.42011898162812794,7.0
3_3_5,Adv,97.0,0.5577820374511552,15.0
3_3_5,Ele,74.0,0.5056962855208469,5.0
3_4_1,Adv,104.0,0.6542020827469743,25.0
3_4_1,Ele,88.0,0.680952380952381,25.0
3_4_2,Adv,81.0,0.4524908424908425,6.0
3_4_2,Ele,58.0,0.43116436409119335,4.0
3_4_3,Adv,68.0,0.4963753669417285,11.0
3_4_3,Ele,40.0,0.42857889393215476,5.0
3_4_4,Adv,122.0,0.5850108085498952,34.0
3_4_4,Ele,68.0,0.5012457614624797,10.0
3_4_5,Adv,76.0,0.5886722898893343,25.0
3_4_5,Ele,41.0,0.4234775641025641,4.0
3_5_1,Adv,61.0,0.37174233940751295,8.0
3_5_1,Ele,65.0,0.5204464861379755,9.0
3_5_2,Adv,110.0,0.5534170571355925,20.0
3_5_2,Ele,89.0,0.48581888395752326,11.0
3_5_3,Adv,47.0,0.361651601209272,4.0
3_5_3,Ele,50.0,0.41099589853317847,5.0
3_5_4,Adv,70.0,0.4156730312876492,8.0
3_5_4,Ele,41.0,0.3988348962773515,3.0
3_6_1,Adv,101.0,0.5713804600787683,9.0
3_6_1,Ele,71.0,0.6136982065553493,8.0
3_6_2,Adv,23.0,0.281054131054131,2.0
3_6_2,Ele,24.0,0.30102868146346407,2.0
3_6_3,Adv,34.0,0.3837535014005602,4.0
3_6_3,Ele,29.0,0.3693212917350848,3.0
3_6_4,Adv,60.0,0.4045460679671206,10.0
3_6_4,Ele,33.0,0.33182786024891286,4.0
3_6_5,Adv,103.0,0.5665287226001511,12.0
3_6_5,Ele,69.0,0.48021678321678324,11.0
3_6_6,Adv,88.0,0.4662387536567864,7.0
3_6_6,Ele,88.0,0.5046344689637373,7.0
3_6_7,Adv,43.0,0.4018901420217209,6.0
3_6_7,Ele,34.0,0.35195707070707066,3.0
3_7_1,Adv,76.0,0.4429292929292929,12.0
3_7_1,Ele,75.0,0.45620847449651797,8.0
3_7_2,Adv,77.0,0.4499387254901961,11.0
3_7_2,Ele,62.0,0.5128205128205129,8.0
3_7_3,Adv,74.0,0.39794063766666504,7.0
3_7_3,Ele,68.0,0.43108016304347824,5.0
3_7_4,Adv,76.0,0.4785972850678733,16.0
3_7_4,Ele,64.0,0.40942528735632183,8.0
3_7_5,Adv,64.0,0.3996145002242563,9.0
3_7_5,Ele,74.0,0.5039706003120636,14.0
3_7_6,Adv,56.0,0.37059313235783825,5.0
3_7_6,Ele,47.0,0.42334054834054835,4.0
3_7_7,Adv,80.0,0.4307918756194618,7.0
3_7_7,Ele,64.0,0.4037443160287988,4.0
3_8_1,Adv,71.0,0.37863026936083255,9.0
3_8_1,Ele,61.0,0.3974518977941899,9.0
3_8_2,Adv,51.0,0.39516262586115525,5.0
3_8_2,Ele,42.0,0.41030844155844154,4.0
3_8_3,Adv,75.0,0.48152667256115533,18.0
3_8_3,Ele,66.0,0.5381803327391562,16.0
3_8_4,Adv,73.0,0.4617711450448864,9.0
3_8_4,Ele,65.0,0.5223891234602155,7.0
3_8_5,Adv,43.0,0.43024361259655375,3.0
3_8_5,Ele,29.0,0.45722829801777165,3.0
3_8_6,Adv,57.0,0.3799420426065163,6.0
3_8_6,Ele,39.0,0.40361111111111114,6.0
3_9_1,Adv,53.0,0.5367912374363988,18.0
3_9_1,Ele,34.0,0.48918803418803425,5.0
3_9_2,Adv,91.0,0.43476794962863075,13.0
3_9_2,Ele,79.0,0.5249487111329216,7.0
3_9_3,Adv,76.0,0.417987012987013,8.0
3_9_3,Ele,60.0,0.4080351791066077,6.0
3_9_4,Adv,56.0,0.41401932713270584,3.0
3_9_4,Ele,49.0,0.5181818181818182,15.0
